Bin	secondary_cluster	primary_cluster	length	completeness	contamination	Secondary_sample_accession	MAG_source	Study	Oral_site	Age_BP	Country	Continent	R1_depth	Paired	Direction	Industrialization	sample_host
HMP_2012__SRS023352__bin.32	878_6	878	2065601	82.59097333	0.675675676	SRS023352	Passoli2019	HMP_2012	TN	7	USA	North America	96098625	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS045715__bin.70	878_6	878	1643755	70.3636725	0.459834835	SRS045715	Passoli2019	HMP_2012	TN	7	USA	North America	101012167	Yes	Western	Industrial	Homo sapiens
ERS12516939.bin.r.9	878_7	878	1107129	50.75	0.68	ERS12516939	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	67875772	Yes	Global South	Non_industrial	Homo sapiens
MGYG000298290	878_8	878	2379466	96.91	0.37	SAMN14570986	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
ERS12516992.bin.r.12	878_9	878	2327595	98.53	0	ERS12516992	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	102591796	Yes	Global South	Non_industrial	Homo sapiens
MGYG000298210	878_10	878	2065822	87.45	1.07	SAMN14570987	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000298220	878_11	878	1973506	81.52	2.32	SAMN14570988	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000298413	878_12	878	2703506	93.09	0.62	ERS7766755	MGNify	DRP005925	SL	7	Japan	Asia	154314928.75	Yes	Eastern	Industrial	Homo sapiens
MGYG000298413	878_12	878	2703506	93.09	0.62	ERS7766755	MGNify	DRP005925	SL	7	Japan	Asia	4171492.5	No	Eastern	Industrial	Homo sapiens
MGYG000298618	878_13	878	1836530	55.86	0	ERS7876803	MGNify	ERP131993	SL	7	China	Asia	16073348.4	Yes	Eastern	Industrial	Homo sapiens
HMP_2012__SRS015893__bin.60	878_14	878	2352909	97.16403904	0.844594595	SRS015893	Passoli2019	HMP_2012	TN	7	USA	North America	79231327	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS048411__bin.55	878_15	878	1781981	70.13116057	1.463963964	SRS048411	Passoli2019	HMP_2012	TN	7	USA	North America	97578525	Yes	Western	Industrial	Homo sapiens
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.9	878_16	878	1779080	51.72413793	0	CA_C10035MS2597SA_t0M15	Passoli2019	FerrettiP_2018	TN	7	Italy	Europe	52229053	Yes	Western	Industrial	Homo sapiens
ERS12516931.bin.r.2	879_1	879	2978838	97.63	0.17	ERS12516931	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	64564376	Yes	Global South	Non_industrial	Homo sapiens
ERS12516994.bin.r.21	879_2	879	2577643	92.21	0.72	ERS12516994	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	82473140	Yes	Global South	Non_industrial	Homo sapiens
SEQF2149.1	879_3	879	3274581	98.98	0	SEQF2149.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
SEQF7809.1	879_3	879	3274581	98.98	0	SEQF7809.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
SEQF7807.1	879_4	879	3275508	98.99	0.34	SEQF7807.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
SEQF7810.1	879_4	879	3273498	99.32	0.51	SEQF7810.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
SEQF7808.1	879_5	879	3402911	99.32	0.17	SEQF7808.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
FerrettiP_2018__CA_C10034MS2579SA_t0M15__bin.9	879_6	879	2957387	94.87943826	3.322072072	CA_C10034MS2579SA_t0M15	Passoli2019	FerrettiP_2018	TN	7	Italy	Europe	31833987	Yes	Western	Industrial	Homo sapiens
FerrettiP_2018__CA_C10055MS2957SA_t0M16__bin.20	879_6	879	2390724	78.06262144	0	CA_C10055MS2957SA_t0M16	Passoli2019	FerrettiP_2018	TN	7	Italy	Europe	51508606	Yes	Western	Industrial	Homo sapiens
ERS12516939.bin.r.33	879_7	879	1858531	60.57	0	ERS12516939	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	67875772	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS024081__bin.81	879_7	879	2894434	97.8857534	2.027027027	SRS024081	Passoli2019	HMP_2012	TN	7	USA	North America	111436227	Yes	Western	Industrial	Homo sapiens
MGYG000298216	879_8	879	2077774	62.07	0	SAMN14570963	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS019607__bin.70	879_9	879	2611955	85.13513514	0	SRS019607	Passoli2019	HMP_2012	TN	7	USA	North America	97297561	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS024318__bin.64	879_10	879	2426154	83.66344285	0.337837838	SRS024318	Passoli2019	HMP_2012	TN	7	USA	North America	67876019	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS042643__bin.23	879_11	879	2714446	98.74249249	3.547297297	SRS042643	Passoli2019	HMP_2012	TN	7	USA	North America	102730971	Yes	Western	Industrial	Homo sapiens
MGYG000298604	879_12	879	2781272	98.27	0.01	SAMN14570975	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
CM_cf__CF_TNFC002SA_t1M15__bin.1	879_13	879	2167786	58.62068966	0	CF_TNFC002SA_t1M15	Passoli2019	CM_cf	SL	7	Italy	Europe	60375196	Yes	Western	Industrial	Homo sapiens
MGYG000298783	879_14	879	2428807	88.15	1.55	SAMN14570969	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000299016	879_15	879	2372821	86.21	0	SAMN14570971	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS021496__bin.37	879_16	879	1973767	65.91591592	0.337837838	SRS021496	Passoli2019	HMP_2012	TN	7	USA	North America	101173678	Yes	Western	Industrial	Homo sapiens
MGYG000298579	879_17	879	2700690	98.41	0	SAMN14570973	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000299217	879_18	879	2528043	90.15	0.34	SAMN14570974	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS020334__bin.31	879_19	879	1920966	60.47297297	0.900900901	SRS020334	Passoli2019	HMP_2012	TN	7	USA	North America	56826133	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS023617__bin.48	879_19	879	2308779	81.8163752	0	SRS023617	Passoli2019	HMP_2012	TN	7	USA	North America	111617542	Yes	Western	Industrial	Homo sapiens
MGYG000298895	879_19	879	2842649	98.32	0	SAMN14570959	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS014573__bin.77	879_20	879	2256125	77.06070041	0.337837838	SRS014573	Passoli2019	HMP_2012	TN	7	USA	North America	82192656	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS017808__bin.6	879_21	879	2872975	97.98235736	0.882684155	SRS017808	Passoli2019	HMP_2012	TN	7	USA	North America	89135195	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS011086__bin.4	879_22	879	2158075	62.18093093	0.112612613	SRS011086	Passoli2019	HMP_2012	TN	7	USA	North America	81664789	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS047210__bin.20	879_23	879	2696770	96.50900901	0.788288288	SRS047210	Passoli2019	HMP_2012	TN	7	USA	North America	89362283	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS015038__bin.18	879_24	879	2856578	97.63513514	1.615990991	SRS015038	Passoli2019	HMP_2012	TN	7	USA	North America	43681879	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS064423__bin.16	879_24	879	2144304	65.87837838	0	SRS064423	Passoli2019	HMP_2012	TN	7	USA	North America	84742225	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS065278__bin.6	879_24	879	2838135	95.75715421	0	SRS065278	Passoli2019	HMP_2012	TN	7	USA	North America	77921836	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS015272__bin.13	879_25	879	2220572	74.66878643	0.506756757	SRS015272	Passoli2019	HMP_2012	TN	7	USA	North America	76624624	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS018791__bin.8	879_26	879	2722276	90.57586999	3.519144144	SRS018791	Passoli2019	HMP_2012	TN	7	USA	North America	118535103	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS053854__bin.10	879_27	879	2478864	77.93103448	1.724137931	SRS053854	Passoli2019	HMP_2012	TN	7	USA	North America	93375076	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS014684__bin.30	879_28	879	2686525	95.71409645	0.084459459	SRS014684	Passoli2019	HMP_2012	TN	7	USA	North America	116042118	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS053603__bin.61	879_29	879	1762130	50	0	SRS053603	Passoli2019	HMP_2012	TN	7	USA	North America	76915162	Yes	Western	Industrial	Homo sapiens
MGYG000299230	879_30	879	2602923	84.56	0.42	ERS6079596	MGNify	ERP127558	SL	7	Spain	Europe	15717140.1923077	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS018591__bin.12	879_31	879	2364234	86.12987988	0.168918919	SRS018591	Passoli2019	HMP_2012	TN	7	USA	North America	85692719	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS051791__bin.52	879_31	879	2497503	79.05405405	0	SRS051791	Passoli2019	HMP_2012	TN	7	USA	North America	94025503	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS014271__bin.64	879_32	879	2561019	80.34482759	0	SRS014271	Passoli2019	HMP_2012	TN	7	USA	North America	85981142	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS047219__bin.35	879_32	879	2730826	98.28100159	1.648615527	SRS047219	Passoli2019	HMP_2012	TN	7	USA	North America	90435760	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS062544__bin.47	879_32	879	2616635	84.7972973	0.337837838	SRS062544	Passoli2019	HMP_2012	TN	7	USA	North America	107214749	Yes	Western	Industrial	Homo sapiens
MGYG000298900	879_33	879	2560367	81.03	0.69	SAMN14570979	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
ERS1202868.bin.r.5	879_34	879	2462704	92.32	0.96	ERS1202868	Lassalle2017	Lassalle2017	SL	7	Philippines	Asia	121100892	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS016569__bin.67	879_35	879	2136601	66.11486486	0.009936407	SRS016569	Passoli2019	HMP_2012	TN	7	USA	North America	99397994	Yes	Western	Industrial	Homo sapiens
MGYG000298188	879_36	879	2324538	77.59	0	SAMN14570967	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
CMC015.B.bin.r.33	879_37	879	1852971	74.76	0.34	CMC015.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	261832045	Yes	Global South	Non_industrial	Homo sapiens
CMC023.B.bin.r.42	879_37	879	1831005	62.97	0.11	CMC023.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	219253747	Yes	Global South	Non_industrial	Homo sapiens
CMC025.B.bin.r.39	879_37	879	1716083	53.45	0	CMC025.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	302596773	Yes	Global South	Non_industrial	Homo sapiens
CMC043.B.bin.r.19	879_38	879	2022733	55.17	0	CMC043.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	241096817	Yes	Global South	Non_industrial	Homo sapiens
CMC020.B.bin.r.61	879_39	879	2154160	78.17	1.35	CMC020.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	221691436	Yes	Global South	Non_industrial	Homo sapiens
CMC042.B.bin.r.55	879_40	879	1939104	75.25	0	CMC042.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	225936961	Yes	Global South	Non_industrial	Homo sapiens
CMC033.B.bin.r.36	879_41	879	1898860	72.34	0.06	CMC033.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	244164311	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS013705__bin.37	879_42	879	2374985	86.15218159	0.76951952	SRS013705	Passoli2019	HMP_2012	TN	7	USA	North America	104261933	Yes	Western	Industrial	Homo sapiens
MGYG000298994	879_43	879	2149160	80.02	2.27	SAMN14570965	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS022143__bin.49	879_44	879	2075631	80.09737679	0.675675676	SRS022143	Passoli2019	HMP_2012	TN	7	USA	North America	113919133	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS048791__bin.40	879_44	879	1702475	60.64520403	0	SRS048791	Passoli2019	HMP_2012	TN	7	USA	North America	70748542	Yes	Western	Industrial	Homo sapiens
ERS1202884.bin.r.11	879_45	879	2461149	93.33	1.18	ERS1202884	Lassalle2017	Lassalle2017	SL	7	Philippines	Asia	162465128	Yes	Global South	Non_industrial	Homo sapiens
ERS12516978.bin.r.57	879_46	879	2131214	79.16	0.43	ERS12516978	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	129743612	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS048411__bin.54	879_47	879	2496869	92.75746335	1.52027027	SRS048411	Passoli2019	HMP_2012	TN	7	USA	North America	97578525	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS064774__bin.70	879_48	879	2009682	71.68278573	2.195945946	SRS064774	Passoli2019	HMP_2012	TN	7	USA	North America	86349222	Yes	Western	Industrial	Homo sapiens
ERS1202875.bin.r.3	879_49	879	1711094	69.55	1.35	ERS1202875	Lassalle2017	Lassalle2017	SL	7	Philippines	Asia	28349972	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS023352__bin.28	879_50	879	1546234	50	3.448275862	SRS023352	Passoli2019	HMP_2012	TN	7	USA	North America	96098625	Yes	Western	Industrial	Homo sapiens
ERS12516992.bin.r.51	879_51	879	2401324	89.88	0	ERS12516992	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	102591796	Yes	Global South	Non_industrial	Homo sapiens
MGYG000298306	879_52	879	2599796	95.08	0.11	SAMN14570964	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000298099	879_53	879	2410886	90.31	1.6	SAMN14570972	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS020856__bin.52	879_54	879	2273618	89.55236486	0	SRS020856	Passoli2019	HMP_2012	TN	7	USA	North America	93114622	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS019894__bin.48	879_55	879	1915863	51.72413793	0	SRS019894	Passoli2019	HMP_2012	TN	7	USA	North America	93410688	Yes	Western	Industrial	Homo sapiens
ERS1202866.bin.r.27	879_56	879	1922276	51.72	0	ERS1202866	Lassalle2017	Lassalle2017	SL	7	Philippines	Asia	167564956	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS015057__bin.34	879_57	879	2520907	92.27344992	1.839339339	SRS015057	Passoli2019	HMP_2012	TN	7	USA	North America	104019514	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS016740__bin.17	879_58	879	2077592	57.39811912	3.448275862	SRS016740	Passoli2019	HMP_2012	TN	7	USA	North America	50470852	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS047824__bin.80	879_59	879	2225057	73.77466752	0.168918919	SRS047824	Passoli2019	HMP_2012	TN	7	USA	North America	98529794	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS016319__bin.17	879_60	879	2176488	77.25390832	0.033783784	SRS016319	Passoli2019	HMP_2012	TN	7	USA	North America	95666232	Yes	Western	Industrial	Homo sapiens
MGYG000298632	879_61	879	2190223	82.8	0.51	SAMN14570978	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
ERS12516964.bin.r.5	879_62	879	2012919	63.79	0	ERS12516964	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	211396268	Yes	Global South	Non_industrial	Homo sapiens
MGYG000298572	879_63	879	2316537	90.9	0.11	SAMN14570961	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000299123	879_64	879	2474248	95.02	0.17	ERS7876859	MGNify	ERP131993	SL	7	China	Asia	16073348.4	Yes	Eastern	Industrial	Homo sapiens
ERS12516981.bin.r.10	879_65	879	2380437	89.13	0.17	ERS12516981	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	105634172	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS012279__bin.21	879_66	879	2554915	90.33463611	3.068693694	SRS012279	Passoli2019	HMP_2012	TN	7	USA	North America	112310475	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS019219__bin.4	879_67	879	2176975	56.89655172	0	SRS019219	Passoli2019	HMP_2012	TN	7	USA	North America	76847897	Yes	Western	Industrial	Homo sapiens
CM_cf__CF_TNFC051SA_t1M16__bin.20	879_68	879	1910747	59.36998448	0.518018018	CF_TNFC051SA_t1M16	Passoli2019	CM_cf	SL	7	Italy	Europe	80175697	Yes	Western	Industrial	Homo sapiens
CM_cf__CF_TNFC003SA_t1M15__bin.1	879_69	879	2067827	72.74223541	1.165540541	CF_TNFC003SA_t1M15	Passoli2019	CM_cf	SL	7	Italy	Europe	26692635	Yes	Western	Industrial	Homo sapiens
MGYG000298898	879_70	879	2493941	84.86	1.55	ERS7621685	MGNify	ERP125117	SL	7	France	Europe	3533774.31081081	Yes	Western	Industrial	Homo sapiens
MGYG000298898	879_70	879	2493941	84.86	1.55	ERS7621685	MGNify	ERP125117	SL	7	France	Europe	906451.707207207	No	Western	Industrial	Homo sapiens
FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.3	879_71	879	2835297	87.63619186	3.58836778	CA_C10042MS2723SA_t0M16	Passoli2019	FerrettiP_2018	TN	7	Italy	Europe	40775715	Yes	Western	Industrial	Homo sapiens
FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.7	879_72	879	2732652	93.55745451	3.11321826	CA_C10029MS2491SA_t0M15	Passoli2019	FerrettiP_2018	TN	7	Italy	Europe	17032502	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS045715__bin.63	879_73	879	2743809	96.60285285	1.858108108	SRS045715	Passoli2019	HMP_2012	TN	7	USA	North America	101012167	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS056622__bin.9	879_74	879	2570289	94.93243243	1.858108108	SRS056622	Passoli2019	HMP_2012	TN	7	USA	North America	91040556	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS016342__bin.18	879_75	879	2819528	94.02269917	1.692942943	SRS016342	Passoli2019	HMP_2012	TN	7	USA	North America	76167699	Yes	Western	Industrial	Homo sapiens
ERS12516955.bin.r.27	879_76	879	1851250	68.77	0	ERS12516955	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	315392644	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS019122__bin.25	879_77	879	2817305	91.09212153	1.951951952	SRS019122	Passoli2019	HMP_2012	TN	7	USA	North America	105468335	Yes	Western	Industrial	Homo sapiens
ERS12516948.bin.r.35	879_78	879	1915623	55.17	0	ERS12516948	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	66118996	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS023926__bin.19	879_79	879	2343795	74.03837661	0.356606607	SRS023926	Passoli2019	HMP_2012	TN	7	USA	North America	99043965	Yes	Western	Industrial	Homo sapiens
MGYG000298119	879_80	879	2420300	77.93	0	SAMN14570960	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000299069	879_81	879	2228934	77.86	2.75	SAMN14570977	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000298887	879_82	879	2648668	97.83	0	SAMN14570958	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000299029	879_83	879	2387548	85.25	1.69	SAMN14570980	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
ERS12516990.bin.r.10	879_84	879	2940090	97.67	0	ERS12516990	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	115376412	Yes	Global South	Non_industrial	Homo sapiens
MGYG000299063	879_85	879	2665629	96.01	0.34	SAMN14570968	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS023835__bin.53	879_86	879	2319062	78.52742448	0.253378378	SRS023835	Passoli2019	HMP_2012	TN	7	USA	North America	82831327	Yes	Western	Industrial	Homo sapiens
MGYG000298304	879_87	879	2469994	90.12	1.07	SAMN14570962	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000298517	879_88	879	2358675	84.4	3.6	SAMN14570976	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
MGYG000298488	879_89	879	2979517	98.1	1.75	SAMN14570970	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
HMP_2012__SRS057791__bin.27	879_90	879	3034628	99.21171171	1.587837838	SRS057791	Passoli2019	HMP_2012	TN	7	USA	North America	93903947	Yes	Western	Industrial	Homo sapiens
MGYG000298420	879_91	879	2483839	85.25	2.36	ERS7599757	MGNify	ERP108069	SL	7	China	Asia	18986049.25	Yes	Eastern	Industrial	Homo sapiens
MGYG000299093	879_92	879	2472059	90.81	0.84	SAMN14570966	MGNify	SRP311368	SL	7	USA	North America	443274.428571429	No	Western	Industrial	Homo sapiens
ERS12516968.bin.r.17	879_93	879	2326444	82.09	0.79	ERS12516968	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	99155760	Yes	Global South	Non_industrial	Homo sapiens
SEQF7806.1	879_94	879	3438557	99.32	0.45	SEQF7806.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
ERS12516977.bin.r.32	879_95	879	2848225	98.99	0	ERS12516977	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	43622152	Yes	Global South	Non_industrial	Homo sapiens
ERS12516976.bin.r.16	879_96	879	2323064	76.96	0.34	ERS12516976	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	60770884	Yes	Global South	Non_industrial	Homo sapiens
BritoIL_2016__W3.22.SA__bin.26	879_97	879	2211736	74.92382088	0.337837838	W3.22.SA	Passoli2019	BritoIL_2016	SL	7	Fiji	Oceania	42270612	Yes	Global South	Non_industrial	Homo sapiens
ERS12516974.bin.r.12	879_98	879	1865714	52.54	0.86	ERS12516974	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	55172364	Yes	Global South	Non_industrial	Homo sapiens
ERS12516960.bin.r.23	879_99	879	2593856	96.45	0.28	ERS12516960	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	40753928	Yes	Global South	Non_industrial	Homo sapiens
ERS12516988.bin.r.43	879_100	879	1478015	50	1.72	ERS12516988	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	62587740	Yes	Global South	Non_industrial	Homo sapiens
ERS12516938.bin.r.4	879_101	879	2374081	89.71	0.11	ERS12516938	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	58325416	Yes	Global South	Non_industrial	Homo sapiens
ERS12516944.bin.r.17	879_102	879	2102264	62.37	0.17	ERS12516944	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	45815152	Yes	Global South	Non_industrial	Homo sapiens
ERS12516953.bin.r.11	879_103	879	2291082	90.07	1.83	ERS12516953	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	40484784	Yes	Global South	Non_industrial	Homo sapiens
ERS12516975.bin.r.25	879_104	879	2612152	79.31	0	ERS12516975	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	45596184	Yes	Global South	Non_industrial	Homo sapiens
ERS12516936.bin.r.18	879_105	879	2634096	90.87	1.19	ERS12516936	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	50619612	Yes	Global South	Non_industrial	Homo sapiens
ERS12516930.bin.r.4	879_106	879	2819714	93.9	2.24	ERS12516930	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	30448208	Yes	Global South	Non_industrial	Homo sapiens
ERS12516983.bin.r.41	879_107	879	2754827	95.46	0.57	ERS12516983	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	109323196	Yes	Global South	Non_industrial	Homo sapiens
ERS12516967.bin.r.47	879_108	879	2223634	79.66	1.03	ERS12516967	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	76092584	Yes	Global South	Non_industrial	Homo sapiens
ERS12516937.bin.r.3	879_109	879	2032254	71.32	0.68	ERS12516937	Pedro2022	Pedro2022	SL	7	Papua New Guinea	Oceania	22491992	Yes	Global South	Non_industrial	Homo sapiens
HMP_2012__SRS024355__bin.31	879_110	879	1988477	65.40187246	0	SRS024355	Passoli2019	HMP_2012	supPQ	7	USA	North America	107914156	Yes	Western	Industrial	Homo sapiens
MGYG000298771	879_111	879	2060931	78.7	1.06	ERS6080589	MGNify	ERP127228	supPQ	7	Italy	Europe	5248769.0619469	Yes	Western	Industrial	Homo sapiens
SEQF1932.1	879_112	879	3099908	99.24	0.34	SEQF1932.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS020220__bin.27	880_0	880	1614962	56.88162427	1.513314785	SRS020220	Passoli2019	HMP_2012	TN	7	USA	North America	84356400	Yes	Western	Industrial	Homo sapiens
SEQF2508.1	881_1	881	3314235	99.32	0.34	SEQF2508.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
SEQF2680.1	881_1	881	3296416	97.33	0.51	SEQF2680.1	HOMD	HOMD	RefSeq	7	USA	North America	1	Yes	Western	Industrial	Homo sapiens
CM_periimplantitis__SP_189SPI_T016__bin.12	881_2	881	2283375	80.18393393	0	SP_189SPI_T016	Passoli2019	CM_periimplantitis	subPQ	7	Italy	Europe	42595153	Yes	Western	Industrial	Homo sapiens
MGYG000298076	881_2	881	2693241	97.02	0	ERS6080652	MGNify	ERP127228	supPQ	7	Italy	Europe	5248769.0619469	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS024289__bin.13	881_3	881	2174737	77.8466702	0.506756757	SRS024289	Passoli2019	HMP_2012	supPQ	7	USA	North America	38417688	Yes	Western	Industrial	Homo sapiens
HMP_2012__SRS047634__bin.88	881_4	881	2780026	93.92598481	2.364864865	SRS047634	Passoli2019	HMP_2012	supPQ	7	USA	North America	68710763	Yes	Western	Industrial	Homo sapiens
CMC013.B.bin.r.41	881_5	881	2599450	95.56	0	CMC013.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	281359865	Yes	Global South	Non_industrial	Homo sapiens
CMC015.B.bin.r.35	881_5	881	2082247	75.27	0	CMC015.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	261832045	Yes	Global South	Non_industrial	Homo sapiens
CMC024.B.bin.r.55	881_5	881	1725847	61.84	0.38	CMC024.B	CMC	Velsko2023	supPQ	7	Cameroon	Africa	294430419	Yes	Global South	Non_industrial	Homo sapiens
