"Bin"	"prepublication_bin"	"length"	"completeness"	"contamination"	"Secondary_sample_accession"	"prepublication_secondary_sample_accession"	"MAG_source"	"Study"	"Oral_site"	"Age_BP"	"Country"	"Continent"	"Industrialization"	"sample_host"	"Host"	"Sample"	"primary_cluster"	"log_age"	"latitude"	"longitude"	"checkM.genome_size"	"checkM.GC"	"GUNC.n_contigs"	"checkM.N50_contigs"	"checkM.completeness"	"checkM.contamination"	"checkM2.completeness"	"checkM2.contamination"	"pass.GUNC"	"quast_n_contigs"	"quast_total_length"	"quast_GC"	"quast_N50"	"Cas_subtype_1"	"Cas_subtype_2"	"CAZyme"	"nimI"	"Prophage"	"completeness_mcr"	"completeness_mtr_mcr"	"total_snps"	"fastBAPS_cluster"
"ERS22873794.bin.r.22"	"ERSX0003001.bin.r.22"	1789468	90.4	0	"ERS22873794"	"ERSX0003001"	"Ancient"	"SMH2023"	"anc_calculus"	700	"Germany"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERSX0003001-megahit_022"	1187	2.84509804001426	48.83988	9.227626	1789468	31.5	375	5741	90.4	0	94.04	0.37	"TRUE"	379	1789468	31.49	5741	"III-A"	"IV-B"	"GT2|GH154|GT81|GT4|GT66"	"Present"	"Absent"	"Missing"	"Present"	1312	"1187_1"
"ERS22873795.bin.r.6"	"ERSX0003002.bin.r.6"	2095455	97.6	0	"ERS22873795"	"ERSX0003002"	"Ancient"	"SMH2023"	"anc_calculus"	700	"Germany"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERSX0003002-megahit_006"	1187	2.84509804001426	48.83988	9.227626	2095455	31	146	24692	97.6	0	99.9	0.99	"TRUE"	148	2095455	31	24692	"III-A"	"None"	"GT2|GT4|GH154|GT81|GT66"	"Present"	"Absent"	"Missing"	"Present"	1380	"1187_1"
"ERS22873796.bin.r.35"	"ERSX0003003.bin.r.35"	2079613	99.2	0	"ERS22873796"	"ERSX0003003"	"Ancient"	"SMH2023"	"anc_calculus"	700	"Germany"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERSX0003003-megahit_035"	1187	2.84509804001426	48.83988	9.227626	2079613	30.9	107	30095	99.2	0	99.98	0.4	"TRUE"	107	2079613	30.89	30095	"None"	"None"	"GT2|GT66|GT4|GH154|GT81|GH13"	"Present"	"Absent"	"Missing"	"Present"	1421	"1187_1"
"ERS26854147.bin.r.1"	"ERSX0004057.bin.r.1"	1237898	72.64	1.07	"ERS26854147"	"ERSX0004057"	"Ancient"	"PacificCalculus"	"anc_calc"	400	"Taiwan"	"Asia"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERSX0004057-megahit_001"	1187	2.60205999132796	25.155812	121.764807	1237898	32.4	647	2031	72.64	1.07	66.39	0.33	"TRUE"	650	1237898	32.38	2031	"III-A"	"None"	"GT2|GH154|GT4|GT81|GT66"	"Present"	"Absent"	"Missing"	"Present"	881	"1187_3"
"ERS15409408.bin.r.3"	"ERSX0004077.bin.r.3"	1062661	58.72	0	"ERS15409408"	"ERSX0004077"	"Ancient"	"PacificCalculus"	"anc_calc"	3000	"Flores"	"Oceania"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERSX0004077-megahit_003"	1187	3.47712125471966	-8.4029	121.2304	1062661	31.8	405	2708	58.72	0	60	0.55	"TRUE"	406	1062661	31.82	2708	"None"	"None"	"GH154|GT2|GT4|GT81"	"Absent"	"Absent"	"Missing"	"Present"	1050	"1187_3"
"ERS15409409.bin.r.4"	"ERSX0004078.bin.r.4"	1980070	98.06	0	"ERS15409409"	"ERSX0004078"	"Ancient"	"PacificCalculus"	"anc_calc"	3000	"Flores"	"Oceania"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERSX0004078-megahit_004"	1187	3.47712125471966	-8.4029	121.2304	1980070	31.1	299	9956	98.06	0	96.37	0.71	"TRUE"	300	1980070	31.09	9956	"III-A"	"None"	"GT4|GT66|GT2|GT81|GH154"	"Present"	"Absent"	"Missing"	"Present"	1445	"1187_3"
"SRS11653538.bin.r.5"	"SRS11653538.bin.r.5"	1489845	86.21	0	"SRS11653538"	"SRS11653538"	"Ancient"	"Quagliariello2022"	"anc_calculus"	4300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS11653538-megahit_005"	1187	3.63346845557959	43.16	13.71	1489845	32.2	587	2922	86.21	0	84.26	0.37	"TRUE"	587	1489845	32.15	2922	"None"	"None"	"GH154|GT2|GT4|GT66|GT81"	"Present"	"Absent"	"Missing"	"Present"	1275	"1187_1"
"SRS11653539.bin.r.1"	"SRS11653539.bin.r.1"	1097821	70.96	0.8	"SRS11653539"	"SRS11653539"	"Ancient"	"Quagliariello2022"	"anc_calculus"	4300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS11653539-megahit_001"	1187	3.63346845557959	43.16	13.71	1097821	32.9	602	1917	70.96	0.8	63.5	0.69	"TRUE"	602	1097821	32.89	1917	"None"	"None"	"GT4|GT66|GT81|GT2|GH154"	"Present"	"Absent"	"Missing"	"Present"	983	"1187_1"
"SRS11653594.bin.r.1"	"SRS11653594.bin.r.1"	1305253	79.01	1.6	"SRS11653594"	"SRS11653594"	"Ancient"	"Quagliariello2022"	"anc_calculus"	6300	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS11653594-megahit_001"	1187	3.79934054945358	41.3	15.2	1305253	32	615	2370	79.01	1.6	73.37	0.23	"TRUE"	615	1305253	31.99	2370	"III-A"	"None"	"GT81|GT2|GT4|GH154|GT66"	"Absent"	"Absent"	"Missing"	"Missing"	1106	"1187_1"
"SRS11653610.bin.r.3"	"SRS11653610.bin.r.3"	1669927	91.09	0.86	"SRS11653610"	"SRS11653610"	"Ancient"	"Quagliariello2022"	"anc_calculus"	6100	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS11653610-megahit_003"	1187	3.78532983501077	43.56	13.59	1669927	31.5	598	3262	91.09	0.86	88.14	0.05	"TRUE"	598	1669927	31.52	3262	"III-A"	"None"	"GT4|GT2|GH154|GT66"	"Absent"	"Absent"	"Missing"	"Present"	1226	"1187_1"
"SRS15300792.bin.r.2"	"SRS15300792.bin.r.2"	2154125	99.2	0	"SRS15300792"	"SRS15300792"	"Ancient"	"Honap2023"	"anc_calculus"	700	"USA"	"North America"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS15300792-megahit_002"	1187	2.84509804001426	36.084621	-96.921387	2154125	30.7	90	46443	99.2	0	99.77	0.53	"TRUE"	90	2154125	30.7	46443	"III-A"	"None"	"GT66|GT2|GT4|GT81|GH154"	"Present"	"Present"	"Missing"	"Present"	1374	"1187_3"
"SRS15300800.bin.r.2"	"SRS15300800.bin.r.2"	1982344	96.8	2.4	"SRS15300800"	"SRS15300800"	"Ancient"	"Honap2023"	"anc_calculus"	700	"USA"	"North America"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS15300800-megahit_002"	1187	2.84509804001426	36.084621	-96.921387	1982344	30.8	67	62875	96.8	2.4	95.86	0.79	"TRUE"	67	1982344	30.84	62875	"III-A"	"None"	"GT4|GT66|GT2|GH154|GT81"	"Present"	"Present"	"Missing"	"Present"	1338	"1187_3"
"SRS15300802.bin.r.16"	"SRS15300802.bin.r.16"	1866865	88.13	4	"SRS15300802"	"SRS15300802"	"Ancient"	"Honap2023"	"anc_calculus"	700	"USA"	"North America"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS15300802-megahit_016"	1187	2.84509804001426	36.084621	-96.921387	1866865	31.2	286	8316	88.13	4	85.5	0.93	"TRUE"	288	1866865	31.23	8316	"III-A"	"None"	"GT2|GT4|GT81|GT66"	"Present"	"Absent"	"Missing"	"Present"	1251	"1187_3"
"SRS3078163.bin.r.14"	"SRS3078163.bin.r.14"	887447	53.09	0	"SRS3078163"	"SRS3078163"	"Ancient"	"Mann2018"	"anc_calculus"	1000	"Ireland"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS3078163-megahit_014"	1187	3	54.005	-8.201	887447	33.2	359	2522	53.09	0	51.01	0.02	"TRUE"	359	887447	33.17	2522	"III-A"	"None"	"GH154|GT4|GT66"	"Absent"	"Absent"	"Missing"	"Present"	775	"1187_3"
"SRS3078204.bin.r.13"	"SRS3078204.bin.r.13"	2084362	99.2	0	"SRS3078204"	"SRS3078204"	"Ancient"	"Mann2018"	"anc_calculus"	4700	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS3078204-megahit_013"	1187	3.67209785793572	38.102	-1.865	2084362	30.8	125	32192	99.2	0	99.93	1.53	"TRUE"	125	2084362	30.78	32192	"None"	"None"	"GT2|GT4|GH154|GT81|GT66"	"Present"	"Absent"	"Missing"	"Present"	1410	"1187_1"
"SRS4625244.bin.r.3"	"SRS4625244.bin.r.3"	1373681	82.89	0.8	"SRS4625244"	"SRS4625244"	"Ancient"	"Ozga2019"	"anc_calculus"	100	"Tanzania"	"Africa"	"Non-human primate"	"Pan troglodytes schweinfurthii"	"Chimpanzee"	"SRS4625244-megahit_003"	1187	2	-4.69	29.62	1373681	32.1	627	2435	82.89	0.8	73.97	0.59	"TRUE"	629	1373681	32.1	2435	"III-A"	"None"	"GT81|GH154|GT4|GT2"	"Absent"	"Absent"	"Missing"	"Present"	960	"1187_3"
"SRS4625245.bin.r.11"	"SRS4625245.bin.r.11"	1716947	96.8	0.8	"SRS4625245"	"SRS4625245"	"Ancient"	"Ozga2019"	"anc_calculus"	100	"Tanzania"	"Africa"	"Non-human primate"	"Pan troglodytes schweinfurthii"	"Chimpanzee"	"SRS4625245-megahit_011"	1187	2	-4.69	29.62	1716947	31.7	181	13694	96.8	0.8	99.17	0.48	"TRUE"	181	1716947	31.71	13694	"III-A"	"None"	"GT2|GT4|GT81|GH154"	"Present"	"Absent"	"Present"	"Present"	1201	"1187_3"
"SRS4625248.bin.r.7"	"SRS4625248.bin.r.7"	1651433	84.61	0.86	"SRS4625248"	"SRS4625248"	"Ancient"	"Ozga2019"	"anc_calculus"	100	"Tanzania"	"Africa"	"Non-human primate"	"Pan troglodytes schweinfurthii"	"Chimpanzee"	"SRS4625248-megahit_007"	1187	2	-4.69	29.62	1651433	31.1	445	4146	84.61	0.86	82.62	2.02	"TRUE"	445	1651433	31.08	4146	"III-A"	"None"	"GT81|GH154|GT4|GT2|GT66"	"Present"	"Absent"	"Missing"	"Present"	1000	"1187_3"
"SRS4625250.bin.r.9"	"SRS4625250.bin.r.9"	815656	52.16	0.8	"SRS4625250"	"SRS4625250"	"Ancient"	"Ozga2019"	"anc_calculus"	100	"Tanzania"	"Africa"	"Non-human primate"	"Pan troglodytes schweinfurthii"	"Chimpanzee"	"SRS4625250-megahit_009"	1187	2	-4.69	29.62	815656	32.3	343	2401	52.16	0.8	44.51	0.02	"TRUE"	343	815656	32.26	2401	"None"	"None"	"GT2|GH154|GT81"	"Absent"	"Absent"	"Missing"	"Present"	515	"1187_3"
"SRS473746.bin.r.50"	"SRS473746.bin.r.50"	2040567	99.2	0	"SRS473746"	"SRS473746"	"Ancient"	"Warinner2014"	"anc_calculus"	900	"Germany"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS473746-megahit_050"	1187	2.95424250943933	51.565	8.84	2040567	30.8	104	36752	99.2	0	99.88	0.75	"TRUE"	104	2040567	30.8	36752	"III-A"	"I-B"	"GT2|GT4|GT81|GH154|GT66"	"Present"	"Absent"	"Missing"	"Present"	1209	"1187_3"
"SRS6212649.bin.r.2"	"SRS6212649.bin.r.2"	2202317	99.2	0	"SRS6212649"	"SRS6212649"	"Ancient"	"Eisenhofer2020"	"anc_calculus"	230	"Japan"	"Asia"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS6212649-megahit_002"	1187	2.36172783601759	35.713	139.767	2202317	30.7	84	56909	99.2	0	99.97	0.31	"TRUE"	84	2202317	30.66	56909	"III-A"	"None"	"GT4|GT2|GT81|GH154|GT66"	"Present"	"Absent"	"Missing"	"Present"	1394	"1187_3"
"SRS6212655.bin.r.1"	"SRS6212655.bin.r.1"	2065411	99.2	0	"SRS6212655"	"SRS6212655"	"Ancient"	"Eisenhofer2020"	"anc_calculus"	230	"Japan"	"Asia"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS6212655-megahit_001"	1187	2.36172783601759	35.71	139.78	2065411	31.1	322	8744	99.2	0	97.28	0.4	"TRUE"	323	2065411	31.14	8744	"I-B"	"None"	"GT4|GT81|GH154|GT2|GT66"	"Present"	"Present"	"Missing"	"Present"	1308	"1187_3"
"SRS6212656.bin.r.2"	"SRS6212656.bin.r.2"	1797628	94.8	0	"SRS6212656"	"SRS6212656"	"Ancient"	"Eisenhofer2020"	"anc_calculus"	2700	"Japan"	"Asia"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS6212656-megahit_002"	1187	3.43136376415899	34.64	137.14	1797628	31.6	417	5955	94.8	0	93.6	0.3	"TRUE"	417	1797628	31.57	5955	"III-A"	"None"	"GT2|GT4|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	1413	"1187_3"
"SRS6212663.bin.r.5"	"SRS6212663.bin.r.5"	1926167	96.8	0	"SRS6212663"	"SRS6212663"	"Ancient"	"Eisenhofer2020"	"anc_calculus"	230	"Japan"	"Asia"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS6212663-megahit_005"	1187	2.36172783601759	35.71	139.78	1926167	31.3	301	8584	96.8	0	98.13	0.75	"TRUE"	302	1926167	31.35	8584	"None"	"None"	"GT4|GT2|GT81|GH154|GT66"	"Present"	"Present"	"Missing"	"Present"	1332	"1187_3"
"SRS7212788.bin.r.2"	"SRS7212788.bin.r.2"	2127217	97.6	0	"SRS7212788"	"SRS7212788"	"Ancient"	"Jacobson2020"	"anc_calculus"	3000	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7212788-megahit_002"	1187	3.47712125471966	40.544	8.321	2127217	30.8	105	35629	97.6	0	99.18	0.69	"TRUE"	105	2127217	30.83	35629	"III-A"	"None"	"GT2|GT66|GT4|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	1515	"1187_1"
"SRS7212789.bin.r.6"	"SRS7212789.bin.r.6"	1797236	89.09	0.86	"SRS7212789"	"SRS7212789"	"Ancient"	"Jacobson2020"	"anc_calculus"	3600	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7212789-megahit_006"	1187	3.55630250076729	39.58	8.85	1797236	30.9	484	4713	89.09	0.86	84.88	2.22	"TRUE"	486	1797236	30.93	4713	"None"	"None"	"GT2|GT66|GT4|GT81"	"Present"	"Absent"	"Missing"	"Present"	1172	"1187_1"
"SRS7212800.bin.r.1"	"SRS7212800.bin.r.1"	2045685	99.2	0.8	"SRS7212800"	"SRS7212800"	"Ancient"	"Jacobson2020"	"anc_calculus"	3400	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7212800-megahit_001"	1187	3.53147891704226	39.448	8.391	2045685	31	203	16169	99.2	0.8	98.13	0.48	"TRUE"	206	2045685	31	16169	"None"	"None"	"GT2|GT4|GH154|GT81"	"Present"	"Absent"	"Missing"	"Present"	1386	"1187_1"
"SRS7212801.bin.r.7"	"SRS7212801.bin.r.7"	1534417	77.84	0.8	"SRS7212801"	"SRS7212801"	"Ancient"	"Jacobson2020"	"anc_calculus"	3400	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7212801-megahit_007"	1187	3.53147891704226	39.448	8.391	1534417	31.8	425	4044	77.84	0.8	72	1.21	"TRUE"	425	1534417	31.79	4044	"None"	"None"	"GT2|GT4|GH154"	"Present"	"Absent"	"Missing"	"Present"	953	"1187_1"
"SRS7212802.bin.r.1"	"SRS7212802.bin.r.1"	1431598	74.06	4.44	"SRS7212802"	"SRS7212802"	"Ancient"	"Jacobson2020"	"anc_calculus"	3400	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7212802-megahit_001"	1187	3.53147891704226	39.448	8.391	1431598	30.7	727	2072	74.06	4.44	60.95	1.61	"TRUE"	728	1431598	30.74	2072	"I-B"	"None"	"GT2|GT4"	"Present"	"Absent"	"Missing"	"Present"	814	"1187_1"
"SRS7212804.bin.r.3"	"SRS7212804.bin.r.3"	1967492	99.2	1.2	"SRS7212804"	"SRS7212804"	"Ancient"	"Jacobson2020"	"anc_calculus"	3600	"Italy"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7212804-megahit_003"	1187	3.55630250076729	39.58	8.85	1967492	30.9	168	18237	99.2	1.2	99.4	0.25	"TRUE"	169	1967492	30.87	18237	"III-A"	"None"	"GT2|GT4|GT81|GH154|GT66"	"Present"	"Absent"	"Missing"	"Present"	1334	"1187_1"
"SRS7967575.bin.r.2"	"SRS7967575.bin.r.2"	1108721	58.07	0	"SRS7967575"	"SRS7967575"	"Ancient"	"Farrer2021"	"anc_calculus"	800	"United Kingdom"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7967575-megahit_002"	1187	2.90308998699194	53.962	-1.075	1108721	32.5	633	1766	58.07	0	50.24	0.78	"TRUE"	635	1108721	32.48	1766	"III-A"	"None"	"GT81|GH154|GT4|GT2"	"Present"	"Absent"	"Missing"	"Present"	581	"1187_3"
"SRS7967576.bin.r.5"	"SRS7967576.bin.r.5"	1739210	85.02	0.8	"SRS7967576"	"SRS7967576"	"Ancient"	"Farrer2021"	"anc_calculus"	800	"United Kingdom"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"SRS7967576-megahit_005"	1187	2.90308998699194	53.962	-1.075	1739210	31.5	626	3194	85.02	0.8	75.98	1.26	"TRUE"	630	1739210	31.49	3194	"None"	"None"	"GT2|GT4|GT81|GH154"	"Absent"	"Absent"	"Missing"	"Present"	858	"1187_3"
"ERS5710628.bin.r.92"	"CMC018.B.bin.r.92"	904921	52.96	0	"ERS5710628"	"CMC018.B"	"CMC"	"Velsko2023"	"supPQ"	7	"Cameroon"	"Africa"	"Non_industrial"	"Homo sapiens"	"Modern human"	"CMC018.B-metaspades_092"	1188	0.845098040014257	3.08557	13.55751	904921	29.3	321	3108	52.96	0	56.84	0.04	"TRUE"	321	904921	29.25	3148	"None"	"None"	"GT66|GT2"	"Absent"	"Absent"	"Present"	"Missing"	457	"1188_4"
"ERS5710634.bin.r.58"	"CMC022.B.bin.r.58"	917647	64	0	"ERS5710634"	"CMC022.B"	"CMC"	"Velsko2023"	"supPQ"	7	"Cameroon"	"Africa"	"Non_industrial"	"Homo sapiens"	"Modern human"	"CMC022.B-metaspades_058"	1188	0.845098040014257	3.08557	13.55751	917647	29.5	399	2527	64	0	61.78	0.29	"TRUE"	399	917647	29.54	2527	"None"	"None"	"GT2|GT66|GT4"	"Absent"	"Absent"	"Missing"	"Missing"	431	"1188_4"
"ERS11702722.bin.r.1"	"ERS11702722.bin.r.1"	1336293	83.39	2	"ERS11702722"	"ERS11702722"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702722-megahit_001"	1188	2.30102999566398	43.182	-2.573	1336293	29.3	595	2473	83.39	2	77.27	0.34	"TRUE"	597	1336293	29.31	2473	"None"	"None"	"GT2|GH154"	"Absent"	"Absent"	"Present"	"Present"	592	"1188_9"
"ERS11702724.bin.r.1"	"ERS11702724.bin.r.1"	1077684	64.49	0.8	"ERS11702724"	"ERS11702724"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"Spain"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702724-megahit_001"	1188	2.30102999566398	43.182	-2.573	1077684	29.6	615	1829	64.49	0.8	61.16	0.12	"TRUE"	615	1077684	29.62	1829	"None"	"None"	"GT2"	"Absent"	"Absent"	"Present"	"Present"	401	"1188_9"
"ERS11702739.bin.r.1"	"ERS11702739.bin.r.1"	1056001	72.94	0.06	"ERS11702739"	"ERS11702739"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702739-megahit_001"	1188	2.30102999566398	52.548	4.914	1056001	29.9	548	1987	72.94	0.06	65.08	0.25	"TRUE"	548	1056001	29.86	1987	"None"	"None"	"GT66|GH154|GT4|GT2"	"Absent"	"Absent"	"Present"	"Present"	610	"1188_9"
"ERS11702742.bin.r.1"	"ERS11702742.bin.r.1"	1892145	99.84	0	"ERS11702742"	"ERS11702742"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702742-megahit_001"	1188	2.30102999566398	52.548	4.914	1892145	28.1	215	14018	99.84	0	98.77	0.54	"TRUE"	216	1892145	28.11	14018	"III-A"	"I-B"	"GT2|GT4|GT81|GH154|GT66"	"Absent"	"Absent"	"Present"	"Present"	623	"1188_7"
"ERS11702746.bin.r.1"	"ERS11702746.bin.r.1"	1772579	97.6	1.6	"ERS11702746"	"ERS11702746"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702746-megahit_001"	1188	2.30102999566398	52.548	4.914	1772579	28.2	199	12269	97.6	1.6	91.72	0.16	"TRUE"	199	1772579	28.22	12269	"I-B"	"None"	"GT2|GH154|GT81|GT66"	"Absent"	"Absent"	"Present"	"Present"	589	"1188_8"
"ERS11702747.bin.r.1"	"ERS11702747.bin.r.1"	1759596	92.74	0.27	"ERS11702747"	"ERS11702747"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702747-megahit_001"	1188	2.30102999566398	52.548	4.914	1759596	28.7	572	3872	92.74	0.27	93.27	1.04	"TRUE"	575	1759596	28.68	3872	"III-A"	"None"	"GH154|GT2|GT66|GT4|GT81"	"Absent"	"Absent"	"Present"	"Missing"	617	"1188_7"
"ERS11702748.bin.r.1"	"ERS11702748.bin.r.1"	1639957	92.18	1.6	"ERS11702748"	"ERS11702748"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702748-megahit_001"	1188	2.30102999566398	52.548	4.914	1639957	28.4	421	4513	92.18	1.6	85.81	0.73	"TRUE"	421	1639957	28.37	4513	"III-A"	"None"	"GT2|GT4|GH154"	"Absent"	"Absent"	"Present"	"Present"	610	"1188_8"
"ERS11702749.bin.r.3"	"ERS11702749.bin.r.3"	1839160	100	0	"ERS11702749"	"ERS11702749"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702749-megahit_003"	1188	2.30102999566398	52.548	4.914	1839160	28.1	105	26362	100	0	99.21	0.52	"TRUE"	105	1839160	28.06	26362	"I-B"	"None"	"GT66|GT2|GT81|GH154|GT4"	"Absent"	"Absent"	"Present"	"Present"	667	"1188_8"
"ERS11702750.bin.r.1"	"ERS11702750.bin.r.1"	1971784	100	0	"ERS11702750"	"ERS11702750"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702750-megahit_001"	1188	2.30102999566398	52.548	4.914	1971784	28.2	314	9743	100	0	94.03	0.8	"TRUE"	314	1971784	28.18	9743	"III-A"	"I-B"	"GT66|GT2|GT4|GH154"	"Absent"	"Absent"	"Present"	"Present"	653	"1188_8"
"ERS11702751.bin.r.4"	"ERS11702751.bin.r.4"	1952096	100	0	"ERS11702751"	"ERS11702751"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702751-megahit_004"	1188	2.30102999566398	52.548	4.914	1952096	28	136	27548	100	0	99.64	0.37	"TRUE"	137	1952096	28	27548	"III-A"	"None"	"GT2|GT4|GT66|GT81|GH154"	"Absent"	"Absent"	"Present"	"Present"	756	"1188_9"
"ERS11702754.bin.r.1"	"ERS11702754.bin.r.1"	1840614	98.61	1.77	"ERS11702754"	"ERS11702754"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702754-megahit_001"	1188	2.30102999566398	52.548	4.914	1840614	28.1	293	9253	98.61	1.77	95.05	1.21	"TRUE"	293	1840614	28.1	9253	"III-A"	"I-B"	"GT81|GT2|GT4|GT66|GH154"	"Absent"	"Absent"	"Present"	"Present"	637	"1188_7"
"ERS11702757.bin.r.1"	"ERS11702757.bin.r.1"	1851951	98.4	0	"ERS11702757"	"ERS11702757"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702757-megahit_001"	1188	2.30102999566398	52.548	4.914	1851951	27.9	249	11362	98.4	0	99.4	0.33	"TRUE"	251	1851951	27.95	11362	"III-A"	"None"	"GT4|GT2|GH154|GT81|GT66"	"Absent"	"Absent"	"Present"	"Present"	1196	"1188_2"
"ERS11702758.bin.r.1"	"ERS11702758.bin.r.1"	1737072	98.4	0.84	"ERS11702758"	"ERS11702758"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702758-megahit_001"	1188	2.30102999566398	52.548	4.914	1737072	28.2	237	8968	98.4	0.84	93.85	0.43	"TRUE"	237	1737072	28.23	8968	"III-A"	"None"	"GT2|GH154|GT4|GT81|GT66"	"Absent"	"Absent"	"Present"	"Present"	618	"1188_7"
"ERS11702760.bin.r.1"	"ERS11702760.bin.r.1"	1268708	77.82	1.6	"ERS11702760"	"ERS11702760"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702760-megahit_001"	1188	2.30102999566398	52.548	4.914	1268708	28.4	625	2190	77.82	1.6	64.41	4.14	"TRUE"	625	1268708	28.4	2190	"III-A"	"None"	"GT2|GH154|GT4"	"Absent"	"Absent"	"Missing"	"Missing"	395	"1188_7"
"ERS11702762.bin.r.4"	"ERS11702762.bin.r.4"	1901133	98.4	0.4	"ERS11702762"	"ERS11702762"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702762-megahit_004"	1188	2.30102999566398	52.548	4.914	1901133	28	157	17591	98.4	0.4	94.07	0.57	"TRUE"	158	1901133	27.95	17591	"III-A"	"None"	"GT4|GT81|GT66|GT2|GH154"	"Absent"	"Present"	"Present"	"Present"	709	"1188_8"
"ERS11702763.bin.r.1"	"ERS11702763.bin.r.1"	2047679	100	0	"ERS11702763"	"ERS11702763"	"Ancient"	"Velsko2022"	"anc_calculus"	200	"The Netherlands"	"Europe"	"Ancient"	"Homo sapiens"	"Ancient human"	"ERS11702763-megahit_001"	1188	2.30102999566398	52.548	4.914	2047679	27.8	110	32529	100	0	99.85	0.64	"TRUE"	110	2047679	27.83	32529	"III-A"	"I-B"	"GT66|GT4|GT2|GH154|GT81"	"Absent"	"Present"	"Present"	"Present"	717	"1188_8"
