Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_318_length_18845_cov_41.7781	NODE_318_length_18845_cov_41.7781@1	6127	6453	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[8]	['1.50e-05']	[0.679]	[0.551]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_108_length_39477_cov_42.9042	NODE_108_length_39477_cov_42.9042@1	22734	23498	False	0%		III-A	1	['AbiEii_0_CAS-III']	[18]	['2.90e-08']	[0.478]	[0.437]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_84_length_50252_cov_36.797	NODE_84_length_50252_cov_36.797@1	5702	7395	False	0%		III-A	1	['AbiEii_0_CAS-III', 'AbiEii_0_CAS-III']	[6, 7]	['8.30e-03', '2.80e-03']	[0.382, 0.321]	[0.387, 0.32]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_374_length_16707_cov_28.3758	NODE_374_length_16707_cov_28.3758@2	14649	15767	False	20%		III-A	2	['Csm5gr7_0_CAS-III-A-III-D']	[17]	['1.30e-03']	[0.571]	[0.386]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_196_length_26881_cov_42.2467	NODE_196_length_26881_cov_42.2467@1	25282	25686	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[27]	['5.10e-04']	[0.63]	[0.358]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_107_length_39805_cov_34.8146	NODE_107_length_39805_cov_34.8146@1	1382	1846	False	17%		III-D	4	['Csm3_0_IIID']	[3]	['4.20e-03']	[0.716]	[0.438]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_133_length_35366_cov_33.4184	NODE_133_length_35366_cov_33.4184@1	23590	23922	False	0%		III-D	1	['Mem_02_0_CAS-III-D']	[25]	['8.00e-05']	[0.766]	[0.326]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_583_length_11430_cov_33.5148	NODE_583_length_11430_cov_33.5148@1	1968	4642	False	14%	0%	I-A	2	['Csa3_1_CAS-I-II-III-IV-V-VI', 'Cas3_0_CAS-I']	[3, 5]	['4.00e-03', '1.10e-10']	[0.587, 0.685]	[0.669, 0.926]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_173_length_30161_cov_42.1453	NODE_173_length_30161_cov_42.1453@1	9808	10581	False	0%		III-A	1	['AbiEii_0_CAS-III']	[14]	['8.80e-07']	[0.659]	[0.602]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_353_length_17405_cov_34.2017	NODE_353_length_17405_cov_34.2017@1	568	912	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[2]	['5.40e-05']	[0.609]	[0.559]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_92_length_45113_cov_34.7697	NODE_92_length_45113_cov_34.7697@1	10213	10620	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[8]	['1.60e-06']	[0.603]	[0.303]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_67_length_59348_cov_43.8859	NODE_67_length_59348_cov_43.8859@2	37267	38370	False	0%		III-A	1	['AbiEii_0_CAS-III']	[35]	['9.00e-07']	[0.416]	[0.542]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_1775_length_4519_cov_29.3761	NODE_1775_length_4519_cov_29.3761@1	897	2435	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[2]	['3.80e-11']	[0.503]	[0.731]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_210_length_25258_cov_40.7215	NODE_210_length_25258_cov_40.7215@1	947	2065	False	20%		III-A	2	['Csm5gr7_0_CAS-III-A-III-D']	[3]	['3.80e-04']	[0.475]	[0.367]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_187_length_28065_cov_31.0306	NODE_187_length_28065_cov_31.0306@1	5900	6532	False	0%		III-A	1	['AbiEii_0_CAS-III']	[5]	['2.80e-04']	[0.564]	[0.412]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_67_length_59348_cov_43.8859	NODE_67_length_59348_cov_43.8859@3	48561	49262	False	0%		III-A	1	['AbiEii_0_CAS-III']	[47]	['2.00e-05']	[0.5]	[0.394]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_184_length_28666_cov_33.3724	NODE_184_length_28666_cov_33.3724@2	19391	20134	False	0%		III-A	1	['AbiEii_0_CAS-III']	[18]	['8.00e-05']	[0.468]	[0.387]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_127_length_36249_cov_33.8721	NODE_127_length_36249_cov_33.8721@1	21732	22751	False	0%		III-A	1	['AbiEii_0_CAS-III']	[15]	['2.30e-05']	[0.332]	[0.401]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_184_length_28666_cov_33.3724	NODE_184_length_28666_cov_33.3724@1	9767	10495	False	0%		III-A	1	['AbiEii_0_CAS-III']	[9]	['2.00e-09']	[0.757]	[0.658]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_151_length_32335_cov_36.8286	NODE_151_length_32335_cov_36.8286@2	29503	30183	False	0%		III-A	1	['AbiEii_0_CAS-III']	[28]	['5.90e-05']	[0.454]	[0.363]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_163_length_30773_cov_29.5418	NODE_163_length_30773_cov_29.5418@1	5288	7624	False	20%		IV-D	4	['RecD_0_IVD']	[8]	['4.50e-67']	[0.873]	[0.916]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_67_length_59348_cov_43.8859	NODE_67_length_59348_cov_43.8859@1	10088	11311	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['1.70e-03']	[0.365]	[0.514]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_36_length_82128_cov_38.375	NODE_36_length_82128_cov_38.375@1	42457	42870	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[45]	['1.90e-06']	[0.558]	[0.576]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_1799_length_4469_cov_35.1604	NODE_1799_length_4469_cov_35.1604@1	3842	4468	False	0%		III-A	1	['AbiEii_0_CAS-III']	[5]	['9.50e-08']	[0.517]	[0.338]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_107_length_39805_cov_34.8146	NODE_107_length_39805_cov_34.8146@2	34256	35242	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[27]	['3.40e-33']	[0.544]	[0.977]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_374_length_16707_cov_28.3758	NODE_374_length_16707_cov_28.3758@1	8147	9073	False	0%	0%	I-A	0	['WYL_0_CAS-I-II-III-IV-V-VI']	[9]	['5.60e-25']	[0.786]	[0.744]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_2204_length_3701_cov_41.6525	NODE_2204_length_3701_cov_41.6525@1	740	1468	False	0%		III-A	1	['AbiEii_0_CAS-III']	[2]	['5.90e-05']	[0.568]	[0.475]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_105_length_40728_cov_36.1623	NODE_105_length_40728_cov_36.1623@1	9687	10421	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['3.50e-05']	[0.527]	[0.44]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_353_length_17405_cov_34.2017	NODE_353_length_17405_cov_34.2017@2	7365	9374	False	14%	0%	I-A	1	['Cas3_0_I']	[10]	['3.50e-10']	[0.413]	[0.771]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_238_length_23015_cov_31.3253	NODE_238_length_23015_cov_31.3253@1	10936	11208	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[8]	['7.70e-15']	[0.78]	[0.661]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.11	putative
NODE_20_length_103086_cov_41.9719	NODE_20_length_103086_cov_41.9719@4	75510	76220	False	0%		III-A	1	['AbiEii_0_CAS-III']	[63]	['1.20e-05']	[0.549]	[0.447]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_246_length_22427_cov_43.354	NODE_246_length_22427_cov_43.354@1	12995	17784	False	0%		III-D	2	['CasR_4_CAS-III-D', 'CasR_4_CAS-III-D', 'Csx20_1_CAS-I-III']	[10, 11, 12]	['2.20e-22', '1.50e-16', '3.90e-35']	[0.372, 0.331, 0.991]	[0.449, 0.468, 0.976]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_41_length_73388_cov_50.0975	NODE_41_length_73388_cov_50.0975@1	8567	9310	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['1.80e-05']	[0.383]	[0.327]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_272_length_21006_cov_57.5081	NODE_272_length_21006_cov_57.5081@1	11932	12282	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[10]	['2.90e-19']	[0.718]	[0.788]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_1984_length_4112_cov_40.7927	NODE_1984_length_4112_cov_40.7927@1	74	1372	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[1]	['4.30e-14']	[0.559]	[0.688]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_58_length_63932_cov_51.8606	NODE_58_length_63932_cov_51.8606@2	44667	45434	False	0%		III-A	1	['AbiEii_0_CAS-III']	[48]	['3.10e-08']	[0.449]	[0.384]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_69_length_58710_cov_46.5247	NODE_69_length_58710_cov_46.5247@1	7620	8411	False	0%		III-A	1	['AbiEii_0_CAS-III']	[7]	['4.70e-05']	[0.424]	[0.394]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_33_length_85621_cov_52.471	NODE_33_length_85621_cov_52.471@1	1624	2670	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['2.00e-06']	[0.438]	[0.511]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_35_length_83879_cov_55.6988	NODE_35_length_83879_cov_55.6988@2	81614	82303	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[62]	['8.80e-05']	[0.365]	[0.385]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_118_length_38334_cov_45.9429	NODE_118_length_38334_cov_45.9429@1	19845	20051	False	20%		III-A	4	['Csm2gr11_0_CAS-III-A']	[28]	['6.70e-03']	[0.638]	[0.495]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_16_length_111435_cov_45.9692	NODE_16_length_111435_cov_45.9692@2	103666	104226	False	14%	0%	I-A	4	['Cas5_0_CAS-I-A']	[97]	['2.80e-03']	[0.406]	[0.385]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_41_length_73388_cov_50.0975	NODE_41_length_73388_cov_50.0975@2	37505	38305	False	0%		III-A	1	['AbiEii_0_CAS-III']	[38]	['2.90e-03']	[0.371]	[0.352]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_783_length_8997_cov_44.5032	NODE_783_length_8997_cov_44.5032@1	2227	2736	False	0%	0%	I-A	0	['CasR_0_CAS-I-II-III-IV-V-VI']	[3]	['7.10e-03']	[0.606]	[0.409]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_29_length_90141_cov_43.0241	NODE_29_length_90141_cov_43.0241@6	80608	81351	False	0%		III-A	1	['AbiEii_0_CAS-III']	[77]	['1.00e-04']	[0.734]	[0.655]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_125_length_36355_cov_56.9068	NODE_125_length_36355_cov_56.9068@1	29264	29704	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[24]	['2.40e-05']	[0.558]	[0.303]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_20_length_103086_cov_41.9719	NODE_20_length_103086_cov_41.9719@1	104	997	False	0%		III-B	1	['htpX_0_CAS-III-B']	[1]	['4.80e-05']	[0.664]	[0.676]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_45_length_71202_cov_47.0238	NODE_45_length_71202_cov_47.0238@1	7964	8932	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[11]	['3.00e-19']	[0.517]	[0.884]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_125_length_36355_cov_56.9068	NODE_125_length_36355_cov_56.9068@2	34353	35222	False	0%		III-A	1	['AbiEii_0_CAS-III']	[30]	['2.40e-03']	[0.369]	[0.356]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_69_length_58710_cov_46.5247	NODE_69_length_58710_cov_46.5247@2	45494	47044	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[37]	['5.90e-11']	[0.482]	[0.708]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_45_length_71202_cov_47.0238	NODE_45_length_71202_cov_47.0238@2	49231	49917	False	0%		III-A	1	['AbiEii_0_CAS-III']	[49]	['3.40e-04']	[0.424]	[0.356]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_154_length_31822_cov_53.4915	NODE_154_length_31822_cov_53.4915@2	13034	13654	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[14]	['1.40e-29']	[0.744]	[0.988]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_29_length_90141_cov_43.0241	NODE_29_length_90141_cov_43.0241@5	70736	75141	False	0%		III-A	1	['RT_0_CAS-III-AM-III-B', 'WYL_3_CAS-I-II-III-IV-V-VI']	[68, 70]	['2.80e-11', '8.50e-14']	[0.351, 0.39]	[0.436, 0.959]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_58_length_63932_cov_51.8606	NODE_58_length_63932_cov_51.8606@1	34739	35035	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[37]	['9.50e-24']	[0.889]	[0.822]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_32_length_86292_cov_42.0834	NODE_32_length_86292_cov_42.0834@1	40304	41167	False	0%		III-B	1	['htpX_0_CAS-III-B']	[52]	['9.30e-14']	[0.67]	[0.557]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_99_length_42413_cov_45.3246	NODE_99_length_42413_cov_45.3246@1	6546	7175	False	14%	0%	I-A	1	['Cas3_1_I']	[8]	['7.10e-05']	[0.367]	[0.438]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_35_length_83879_cov_55.6988	NODE_35_length_83879_cov_55.6988@1	31788	32852	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[29]	['1.20e-05']	[0.462]	[0.924]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_32_length_86292_cov_42.0834	NODE_32_length_86292_cov_42.0834@2	83071	83427	False	0%	33%	I-A	2	['Cas4_0_CAS-I-II-III-IV-V-VI']	[87]	['1.60e-03']	[0.58]	[0.397]		-1	keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_29_length_90141_cov_43.0241	NODE_29_length_90141_cov_43.0241@3	50674	51282	False	0%		III-A	1	['AbiEii_0_CAS-III']	[48]	['3.50e-07']	[0.675]	[0.486]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_16_length_111435_cov_45.9692	NODE_16_length_111435_cov_45.9692@1	61052	61825	False	0%		III-A	1	['AbiEii_0_CAS-III']	[67]	['2.70e-07']	[0.333]	[0.306]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_15_length_112201_cov_60.576	NODE_15_length_112201_cov_60.576@1	9215	10306	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['8.10e-04']	[0.357]	[0.447]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_29_length_90141_cov_43.0241	NODE_29_length_90141_cov_43.0241@1	4054	4965	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[5]	['1.70e-14']	[0.5]	[0.919]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_118_length_38334_cov_45.9429	NODE_118_length_38334_cov_45.9429@2	35063	35842	False	0%		III-A	1	['AbiEii_0_CAS-III']	[59]	['2.00e-05']	[0.404]	[0.359]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_473_length_13616_cov_46.8531	NODE_473_length_13616_cov_46.8531@1	8238	9008	False	0%		III-A	1	['AbiEii_0_CAS-III']	[9]	['5.10e-06']	[0.401]	[0.352]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_20_length_103086_cov_41.9719	NODE_20_length_103086_cov_41.9719@3	46894	47031	False	20%	0%	I-B	4	['Cas8b2_4_CAS-I-B']	[36]	['2.20e-03']	[0.717]	[0.508]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_20_length_103086_cov_41.9719	NODE_20_length_103086_cov_41.9719@2	24661	25290	False	0%	0%	I-A	0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[22]	['1.60e-03']	[0.395]	[0.5]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_15_length_112201_cov_60.576	NODE_15_length_112201_cov_60.576@2	65890	66369	False	0%		III-A	1	['AbiEii_1_CAS-III-A']	[66]	['1.90e-03']	[0.669]	[0.319]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_154_length_31822_cov_53.4915	NODE_154_length_31822_cov_53.4915@1	9067	9840	False	0%		III-A	1	['AbiEii_0_CAS-III']	[9]	['9.00e-04']	[0.434]	[0.391]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_29_length_90141_cov_43.0241	NODE_29_length_90141_cov_43.0241@4	57874	58602	False	0%		III-A	1	['AbiEii_0_CAS-III']	[54]	['2.80e-04']	[0.584]	[0.493]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_565_length_11775_cov_50.7916	NODE_565_length_11775_cov_50.7916@1	10262	11347	False	0%	33%	I-C	4	['Cas1_0_IC']	[12]	['2.40e-03']	[0.32]	[0.326]		1	keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_29_length_90141_cov_43.0241	NODE_29_length_90141_cov_43.0241@2	16254	22685	False	20%		IV-D	4	['RecD_0_IVD', 'Cas3HD_0_CAS-I', 'AbiEii_0_CAS-III']	[19, 21, 24]	['4.30e-79', '2.00e-05', '2.00e-10']	[0.793, 0.383, 0.56]	[0.784, 0.448, 0.451]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.16	putative
NODE_2438_length_3322_cov_3.17998	NODE_2438_length_3322_cov_3.17998@1	1618	2943	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[3]	['2.40e-12']	[0.683]	[0.898]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_2166_length_3775_cov_3.31667	NODE_2166_length_3775_cov_3.31667@1	722	1717	False	0%		III-B	1	['htpX_0_CAS-III-B']	[2]	['4.60e-18']	[0.849]	[0.673]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_455_length_14188_cov_4.39277	NODE_455_length_14188_cov_4.39277@1	10064	10582	False	0%		III-B	1	['HTH_0_CAS-III-B']	[8]	['3.00e-03']	[0.682]	[0.585]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_4131_length_2039_cov_2.9622	NODE_4131_length_2039_cov_2.9622@1	1	1941	False	0%		III-A	1	['AbiEii_0_CAS-III']	[1]	['1.70e-04']	[0.385]	[0.595]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_638_length_10637_cov_3.02051	NODE_638_length_10637_cov_3.02051@1	1599	2231	False	29%	0%	I-A	2	['Cas3HD_0_CAS-I']	[2]	['3.10e-03']	[0.374]	[0.399]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_1564_length_4997_cov_2.73128	NODE_1564_length_4997_cov_2.73128@1	4308	4997	False	0%	33%	II-A	3	['Csn2_7_CAS-II-A']	[6]	['7.80e-07']	[0.665]	[0.435]		1	keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_2790_length_2950_cov_3.68981	NODE_2790_length_2950_cov_3.68981@1	1119	2948	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[2]	['3.20e-33']	[0.357]	[0.994]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_5217_length_1654_cov_2.64478	NODE_5217_length_1654_cov_2.64478@1	2	1519	False	20%		IV-D	4	['RecD_0_IVD']	[1]	['3.20e-50']	[0.828]	[0.532]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_1955_length_4170_cov_3.97084	NODE_1955_length_4170_cov_3.97084@1	2285	2785	False	17%		III-B	2	['Cmr6gr7_2_CAS-III-B-III-C']	[5]	['2.10e-03']	[0.605]	[0.412]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_188_length_27908_cov_4.51628	NODE_188_length_27908_cov_4.51628@1	11687	13594	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[10]	['1.50e-08']	[0.392]	[0.708]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_4593_length_1853_cov_3.2525	NODE_4593_length_1853_cov_3.2525@1	1	828	False	20%		IV-C	3	['Cas11_1_IVC']	[1]	['4.20e-03']	[0.424]	[0.733]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_2870_length_2873_cov_2.44251	NODE_2870_length_2873_cov_2.44251@1	1490	2872	False	20%		IV-D	4	['RecD_0_IVD']	[2]	['1.00e-18']	[0.911]	[0.503]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_1091_length_6861_cov_4.25007	NODE_1091_length_6861_cov_4.25007@1	5223	6860	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[5]	['1.90e-13']	[0.41]	[0.623]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_4753_length_1795_cov_3.52816	NODE_4753_length_1795_cov_3.52816@1	1254	1589	False	20%		III-A	4	['Csm2gr11_5_CAS-III-A']	[3]	['1.30e-04']	[0.839]	[0.733]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_1365_length_5705_cov_3.22796	NODE_1365_length_5705_cov_3.22796@1	4382	5332	False	0%	0%	I-A	0	['WYL_3_CAS-I-II-III-IV-V-VI']	[5]	['2.30e-30']	[0.565]	[0.994]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_267_length_21268_cov_4.34243	NODE_267_length_21268_cov_4.34243@1	2	1921	False	14%	0%	I-A	1	['Cas3_0_I']	[1]	['1.80e-08']	[0.384]	[0.626]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_398_length_15719_cov_4.2417	NODE_398_length_15719_cov_4.2417@1	104	1015	False	0%	0%	I-A	0	['WYL_0_CAS-I-II-III-IV-V-VI']	[1]	['3.00e-18']	[0.961]	[0.968]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_2400_length_3378_cov_3.19079	NODE_2400_length_3378_cov_3.19079@1	37	1368	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[1]	['3.00e-16']	[0.559]	[0.711]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_3806_length_2195_cov_4.10514	NODE_3806_length_2195_cov_4.10514@1	1389	2195	False	0%	0%	I-A	0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[2]	['8.90e-35']	[0.591]	[0.994]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_3439_length_2422_cov_3.47402	NODE_3439_length_2422_cov_3.47402@1	1711	2421	False	0%		III-A	1	['AbiEii_0_CAS-III']	[3]	['1.80e-05']	[0.439]	[0.359]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_3648_length_2288_cov_3.18092	NODE_3648_length_2288_cov_3.18092@1	1	1791	Ambiguous	['100%', '100%']	['0%', '0%']	['II-A', 'II-C']	2	['Cas9_0_II']	[1]	['5.20e-67']	[0.583]	[0.427]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_986_length_7480_cov_3.16498	NODE_986_length_7480_cov_3.16498@1	1465	2484	False	0%		VI-B1	2	['tm_4_0_CAS-VI-B']	[3]	['1.50e-03']	[0.374]	[0.378]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_3943_length_2130_cov_3.64867	NODE_3943_length_2130_cov_3.64867@1	1352	1657	False	20%		III-A	4	['Csm2_0_IIIA']	[2]	['3.30e-03']	[0.647]	[0.625]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.17	putative
NODE_5_length_191382_cov_56.1958	NODE_5_length_191382_cov_56.1958@1	57548	58969	False	14%	0%	I-A	2	['Cas3_0_CAS-I']	[48]	['6.10e-07']	[0.477]	[0.64]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.19	putative
NODE_4_length_194177_cov_64.1352	NODE_4_length_194177_cov_64.1352@2	145449	146177	False	20%		III-A	4	['Csm3_0_IIIA']	[128]	['4.00e-03']	[0.309]	[0.365]	-1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.19	putative
NODE_7_length_161159_cov_62.9742	NODE_7_length_161159_cov_62.9742@2	89183	89647	False	20%		IV-C	3	['Cas11_1_IVC']	[106]	['4.30e-03']	[0.568]	[0.708]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.19	putative
NODE_6_length_173529_cov_68.8549	NODE_6_length_173529_cov_68.8549@4	111460	113136	False	0%		III-A	1	['AbiEii_0_CAS-III']	[98]	['5.80e-08']	[0.363]	[0.507]			keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.19	putative
NODE_9_length_141313_cov_56.0826	NODE_9_length_141313_cov_56.0826@1	83252	83494	False	14%	0%	I-A	2	['Cas6f_2_CAS-I-II-III-IV-V-VI']	[71]	['9.90e-03']	[0.802]	[0.351]	1		keratinized_gingiva	industrial	HMP_2012__SRS014473__bin.19	putative
