Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,Individual_ID,MAG_source,oral_site,Bin
NODE_6871_length_1327_cov_20.8,NODE_6871_length_1327_cov_20.8@1,3,965,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['2.70e-07'],[0.717],[0.666],-1,,ERS6205396.bin.r.8,putative,ERS6205396,Ancient,calculus,ERS6205396-megahit_008
NODE_92_length_16411_cov_26.2,NODE_92_length_16411_cov_26.2@2,14213,14788,False,29%,0%,I-A,2,['Cas3HD_0_CAS-I'],[18],['6.60e-03'],[0.349],[0.409],1,,ERS6205396.bin.r.8,putative,ERS6205396,Ancient,calculus,ERS6205396-megahit_008
NODE_830_length_3554_cov_22.4,NODE_830_length_3554_cov_22.4@1,789,2513,False,14%,0%,I-A,1,['Cas3_0_I'],[2],['1.80e-12'],[0.43],[0.696],1,,ERS6205396.bin.r.8,putative,ERS6205396,Ancient,calculus,ERS6205396-megahit_008
NODE_2559_length_3018_cov_14.1,NODE_2559_length_3018_cov_14.1@1,3,3017,False,14%,0%,I-A,1,['Cas3_0_I'],[1],['2.10e-13'],[0.325],[0.88],1,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_6557_length_1318_cov_14.9,NODE_6557_length_1318_cov_14.9@1,227,844,False,29%,0%,I-A,2,['Cas3HD_0_CAS-I'],[2],['6.40e-03'],[0.325],[0.409],1,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_2466_length_3103_cov_14.3,NODE_2466_length_3103_cov_14.3@1,975,3101,False,20%,,IV-A1,2,['Csf4_0_IVA'],[3],['5.90e-15'],[0.317],[0.356],1,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_1213_length_5511_cov_15.1,NODE_1213_length_5511_cov_15.1@1,1493,2176,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['7.80e-09'],[0.596],[0.864],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_3455_length_2315_cov_13.8,NODE_3455_length_2315_cov_13.8@1,100,1710,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['2.60e-10'],[0.356],[0.55],1,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_2138_length_3501_cov_13.0,NODE_2138_length_3501_cov_13.0@1,2265,3500,False,0%,,IV-B,3,['CysH_0_IVB'],[4],['7.40e-16'],[0.393],[0.635],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_1212_length_5514_cov_14.3,NODE_1212_length_5514_cov_14.3@1,3162,3944,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[4],['3.70e-06'],[0.33],[0.313],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_4190_length_1957_cov_13.3,NODE_4190_length_1957_cov_13.3@1,84,989,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['8.70e-11'],[0.371],[0.401],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_5864_length_1455_cov_12.7,NODE_5864_length_1455_cov_12.7@1,746,1453,False,0%,,III-B,1,['htpX_0_CAS-III-B'],[1],['1.30e-11'],[0.737],[0.551],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_6810_length_1273_cov_11.5,NODE_6810_length_1273_cov_11.5@1,712,1062,False,14%,0%,I-A,4,['Csa5_0_IA'],[2],['5.30e-03'],[0.701],[0.813],1,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_2859_length_2739_cov_15.0,NODE_2859_length_2739_cov_15.0@1,1131,2738,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[2],['8.40e-19'],[0.616],[0.935],1,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_3101_length_2535_cov_13.1,NODE_3101_length_2535_cov_13.1@1,1087,1683,False,0%,0%,I-A,0,['Csa3_0_CAS-I-II-III-IV-V-VI'],[2],['2.10e-03'],[0.402],[0.457],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_3815_length_2116_cov_12.2,NODE_3815_length_2116_cov_12.2@1,341,1387,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['8.60e-06'],[0.415],[0.37],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_6410_length_1346_cov_13.5,NODE_6410_length_1346_cov_13.5@1,1,528,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[1],['4.00e-12'],[0.591],[0.594],,,ERS6256726.bin.r.5,putative,ERS6256726,Ancient,calculus,ERS6256726-megahit_005
NODE_18087_length_1015_cov_17.4,NODE_18087_length_1015_cov_17.4@1,398,1015,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['6.90e-08'],[0.437],[0.303],,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_3086_length_3462_cov_19.9,NODE_3086_length_3462_cov_19.9@1,1353,3461,False,20%,,IV-A1,2,['Csf4_0_IVA'],[3],['4.40e-16'],[0.367],[0.392],1,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_16828_length_1068_cov_22.0,NODE_16828_length_1068_cov_22.0@1,362,1066,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['5.50e-09'],[0.579],[0.864],,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_554_length_8966_cov_20.2,NODE_554_length_8966_cov_20.2@1,7901,8251,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[8],['4.70e-19'],[0.812],[0.881],,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_9101_length_1655_cov_20.6,NODE_9101_length_1655_cov_20.6@1,1,1653,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['9.00e-19'],[0.599],[0.935],1,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_5479_length_2361_cov_19.9,NODE_5479_length_2361_cov_19.9@1,1637,2233,False,0%,0%,I-A,0,['Csa3_0_CAS-I-II-III-IV-V-VI'],[2],['9.80e-03'],[0.397],[0.451],,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_2433_length_4041_cov_21.3,NODE_2433_length_4041_cov_21.3@1,1,1800,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['8.70e-11'],[0.343],[0.592],-1,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_4159_length_2854_cov_19.4,NODE_4159_length_2854_cov_19.4@1,1011,2771,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[3],['5.20e-09'],[0.434],[0.734],-1,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_422_length_10301_cov_21.1,NODE_422_length_10301_cov_21.1@1,804,2528,False,14%,0%,I-A,1,['Cas3_0_I'],[2],['1.40e-12'],[0.43],[0.696],-1,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_1255_length_5820_cov_21.1,NODE_1255_length_5820_cov_21.1@1,3133,3810,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[3],['3.50e-14'],[0.81],[0.988],,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_1197_length_5973_cov_18.6,NODE_1197_length_5973_cov_18.6@1,2211,3257,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[4],['8.30e-06'],[0.415],[0.37],,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_12464_length_1322_cov_17.8,NODE_12464_length_1322_cov_17.8@1,329,679,False,14%,0%,I-A,4,['Csa5_0_IA'],[2],['6.70e-03'],[0.701],[0.813],1,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_353_length_11145_cov_21.3,NODE_353_length_11145_cov_21.3@1,2088,2678,False,0%,,III-B,3,['Csx16_0_CAS-III-B'],[4],['1.80e-03'],[0.345],[0.638],,,ERS6636099.bin.r.13,putative,ERS6636099,Ancient,calculus,ERS6636099-megahit_013
NODE_5753_length_4100_cov_49.2,NODE_5753_length_4100_cov_49.2@1,2,1579,False,14%,0%,I-A,1,['Cas3_0_I'],[1],['9.10e-12'],[0.46],[0.682],1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_3193_length_6132_cov_51.8,NODE_3193_length_6132_cov_51.8@1,5361,6131,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[6],['6.80e-06'],[0.362],[0.313],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_1839_length_8920_cov_47.0,NODE_1839_length_8920_cov_47.0@1,4312,6309,False,20%,,IV-A1,2,['Csf4_0_IVA'],[6],['4.60e-16'],[0.387],[0.392],1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_537_length_18534_cov_50.1,NODE_537_length_18534_cov_50.1@1,9232,9582,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[9],['6.00e-19'],[0.812],[0.881],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_1734_length_9310_cov_56.4,NODE_1734_length_9310_cov_56.4@1,503,3247,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[2],['4.90e-18'],[0.361],[0.935],1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_278_length_26455_cov_50.2,NODE_278_length_26455_cov_50.2@1,6520,7566,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[9],['1.10e-05'],[0.415],[0.37],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_690_length_16095_cov_56.7,NODE_690_length_16095_cov_56.7@1,8970,9749,False,0%,,III-A,1,['AbiEii_1_CAS-III-A'],[11],['2.40e-06'],[0.477],[0.349],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_1109_length_12243_cov_93.9,NODE_1109_length_12243_cov_93.9@1,6716,8605,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[5],['1.80e-10'],[0.327],[0.592],1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_1218_length_11594_cov_57.4,NODE_1218_length_11594_cov_57.4@1,824,1471,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['1.30e-08'],[0.63],[0.864],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_5769_length_4093_cov_59.0,NODE_5769_length_4093_cov_59.0@1,1893,2468,False,29%,0%,I-A,2,['Cas3HD_0_CAS-I'],[5],['6.80e-03'],[0.349],[0.409],1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_684_length_16193_cov_48.8,NODE_684_length_16193_cov_48.8@1,1675,2400,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[6],['1.30e-08'],[0.393],[0.32],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_3963_length_5292_cov_62.3,NODE_3963_length_5292_cov_62.3@1,2676,3377,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[3],['4.70e-06'],[0.406],[0.313],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_400_length_21273_cov_57.2,NODE_400_length_21273_cov_57.2@1,3634,4416,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[5],['5.70e-06'],[0.33],[0.313],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_463_length_20026_cov_51.6,NODE_463_length_20026_cov_51.6@1,14053,15813,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[15],['1.50e-08'],[0.426],[0.717],1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_1957_length_8612_cov_50.3,NODE_1957_length_8612_cov_50.3@1,5823,6173,False,14%,0%,I-A,4,['Csa5_0_IA'],[7],['7.90e-03'],[0.701],[0.813],1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_3699_length_5562_cov_59.4,NODE_3699_length_5562_cov_59.4@1,1503,1778,False,17%,,III-D,3,['Csx19_20_CAS-III-D'],[3],['1.10e-03'],[0.728],[0.463],-1,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_278_length_26455_cov_50.2,NODE_278_length_26455_cov_50.2@2,23430,24107,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[22],['4.50e-14'],[0.81],[0.988],,,ERSX0003002.bin.r.41,putative,ERSX0003002,Ancient,calculus,ERSX0003002-megahit_041
NODE_17417_length_2219_cov_47.2,NODE_17417_length_2219_cov_47.2@1,503,2218,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[2],['1.30e-18'],[0.577],[0.935],1,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_2609_length_9009_cov_46.6,NODE_2609_length_9009_cov_46.6@1,6562,7179,False,29%,0%,I-A,2,['Cas3HD_0_CAS-I'],[7],['7.80e-03'],[0.325],[0.409],-1,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_2301_length_9811_cov_41.9,NODE_2301_length_9811_cov_41.9@1,2435,2785,False,14%,0%,I-A,4,['Csa5_0_IA'],[5],['6.70e-03'],[0.701],[0.813],-1,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_5085_length_5605_cov_39.1,NODE_5085_length_5605_cov_39.1@1,1536,2582,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[4],['1.00e-05'],[0.415],[0.37],,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_16016_length_2366_cov_45.6,NODE_16016_length_2366_cov_45.6@1,824,1471,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['1.20e-08'],[0.63],[0.864],,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_2189_length_10171_cov_42.5,NODE_2189_length_10171_cov_42.5@1,1250,1600,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['5.80e-19'],[0.812],[0.881],,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_3563_length_7260_cov_43.6,NODE_3563_length_7260_cov_43.6@1,3,1607,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['1.10e-10'],[0.385],[0.592],-1,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_3474_length_7397_cov_40.3,NODE_3474_length_7397_cov_40.3@1,4312,6309,False,20%,,IV-A1,2,['Csf4_0_IVA'],[6],['4.10e-16'],[0.389],[0.396],1,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_1202_length_15396_cov_43.9,NODE_1202_length_15396_cov_43.9@1,13647,14240,False,17%,,III-B,4,['Cmr5_1_IIIB'],[19],['5.30e-03'],[0.46],[0.647],1,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_8574_length_3829_cov_40.3,NODE_8574_length_3829_cov_40.3@1,1,1278,False,14%,0%,I-A,1,['Cas3_0_I'],[1],['6.30e-11'],[0.441],[0.542],1,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_10519_length_3272_cov_43.7,NODE_10519_length_3272_cov_43.7@1,2129,3271,False,0%,,IV-B,3,['CysH_0_IVB'],[3],['2.30e-09'],[0.373],[0.542],,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_907_length_18994_cov_42.8,NODE_907_length_18994_cov_42.8@1,5451,6128,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[5],['4.30e-14'],[0.81],[0.988],,,ERSX0003003.bin.r.42,putative,ERSX0003003,Ancient,calculus,ERSX0003003-megahit_042
NODE_478_length_2437_cov_27.4,NODE_478_length_2437_cov_27.4@1,433,1110,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[2],['1.30e-13'],[0.81],[0.988],,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_1303_length_1392_cov_26.4,NODE_1303_length_1392_cov_26.4@1,153,878,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['8.30e-09'],[0.393],[0.32],,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_397_length_2685_cov_27.8,NODE_397_length_2685_cov_27.8@1,2435,2683,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[3],['5.80e-09'],[0.867],[0.627],,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_315_length_3088_cov_27.9,NODE_315_length_3088_cov_27.9@1,1582,2352,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[3],['2.20e-08'],[0.381],[0.331],,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_313_length_3098_cov_26.4,NODE_313_length_3098_cov_26.4@1,3,1418,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[1],['2.90e-14'],[0.693],[0.881],-1,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_456_length_2510_cov_25.9,NODE_456_length_2510_cov_25.9@1,1,942,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[1],['7.00e-07'],[0.363],[0.412],,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_1476_length_1294_cov_26.6,NODE_1476_length_1294_cov_26.6@1,758,1294,False,14%,0%,I-A,1,['Cas3_0_I'],[2],['3.50e-11'],[0.754],[0.419],1,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_834_length_1788_cov_26.7,NODE_834_length_1788_cov_26.7@1,3,1409,False,0%,,IV-B,3,['CysH_0_IVB'],[1],['6.20e-17'],[0.401],[0.739],,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_1590_length_1242_cov_29.3,NODE_1590_length_1242_cov_29.3@1,426,809,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['4.90e-04'],[0.469],[0.398],,,ERSX0004024.bin.r.1,putative,ERSX0004024,Ancient,calculus,ERSX0004024-megahit_001
NODE_299_length_8692_cov_38.8,NODE_299_length_8692_cov_38.8@1,6988,7944,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[8],['1.20e-06'],[0.31],[0.331],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_17_length_41805_cov_39.7,NODE_17_length_41805_cov_39.7@1,11091,11873,False,0%,,IV-B,3,['CysH_0_IVB'],[11],['1.00e-03'],[0.521],[0.454],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_41_length_27097_cov_38.9,NODE_41_length_27097_cov_38.9@1,13241,14032,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[13],['2.30e-09'],[0.436],[0.398],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_25_length_35672_cov_38.8,NODE_25_length_35672_cov_38.8@1,3551,5548,False,20%,,IV-A1,2,['Csf4_0_IVA'],[6],['5.10e-16'],[0.39],[0.395],1,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_36_length_28090_cov_39.2,NODE_36_length_28090_cov_39.2@1,7328,9217,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[6],['1.90e-10'],[0.327],[0.592],-1,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_42_length_26349_cov_38.1,NODE_42_length_26349_cov_38.1@1,1702,2052,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['6.50e-19'],[0.812],[0.881],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_19_length_40298_cov_39.8,NODE_19_length_40298_cov_39.8@1,21908,22555,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[25],['1.50e-07'],[0.63],[0.864],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_25_length_35672_cov_38.8,NODE_25_length_35672_cov_38.8@2,17373,18419,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[19],['1.20e-05'],[0.415],[0.37],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_70_length_20404_cov_37.1,NODE_70_length_20404_cov_37.1@1,1367,2068,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[2],['7.10e-06'],[0.521],[0.338],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_1_length_88623_cov_40.4,NODE_1_length_88623_cov_40.4@1,73267,74946,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[64],['1.60e-08'],[0.445],[0.714],-1,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_79_length_18900_cov_36.7,NODE_79_length_18900_cov_36.7@1,15247,16011,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[14],['7.80e-09'],[0.384],[0.331],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_25_length_35672_cov_38.8,NODE_25_length_35672_cov_38.8@3,34284,34961,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[32],['1.90e-13'],[0.81],[0.988],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_10_length_54038_cov_40.9,NODE_10_length_54038_cov_40.9@1,11836,14580,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[18],['5.00e-18'],[0.361],[0.935],1,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_41_length_27097_cov_38.9,NODE_41_length_27097_cov_38.9@2,26223,27095,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[24],['1.10e-10'],[0.385],[0.401],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_39_length_27434_cov_37.6,NODE_39_length_27434_cov_37.6@1,9015,9740,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[13],['4.90e-08'],[0.384],[0.313],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_18_length_41339_cov_39.0,NODE_18_length_41339_cov_39.0@1,33258,34103,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[28],['6.30e-06'],[0.33],[0.317],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_59_length_22003_cov_38.4,NODE_59_length_22003_cov_38.4@1,12340,13110,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[12],['3.30e-08'],[0.381],[0.331],,,ERSX0004070.bin.r.2,putative,ERSX0004070,Ancient,calculus,ERSX0004070-megahit_002
NODE_9_length_101752_cov_40.3,NODE_9_length_101752_cov_40.3@1,21155,21802,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[26],['3.90e-07'],[0.63],[0.864],,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
NODE_1_length_147139_cov_38.0,NODE_1_length_147139_cov_38.0@5,99702,100748,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[87],['1.00e-05'],[0.415],[0.37],,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
NODE_1_length_147139_cov_38.0,NODE_1_length_147139_cov_38.0@8,145701,146480,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[131],['3.80e-06'],[0.446],[0.401],,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
NODE_616_length_6736_cov_36.3,NODE_616_length_6736_cov_36.3@1,5381,6106,False,0%,,III-A,1,['AbiEii_0_CAS-III'],[6],['1.40e-08'],[0.393],[0.32],,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
NODE_1_length_147139_cov_38.0,NODE_1_length_147139_cov_38.0@4,83160,83837,False,0%,0%,I-A,0,['DEDDh_0_CAS-I-II-III-IV-V-VI'],[74],['1.70e-13'],[0.81],[0.988],,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
NODE_12_length_87207_cov_39.7,NODE_12_length_87207_cov_39.7@1,12253,13932,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[14],['1.50e-07'],[0.446],[0.717],1,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
NODE_89_length_29132_cov_39.1,NODE_89_length_29132_cov_39.1@1,22129,22923,False,0%,,IV-B,3,['CysH_0_IVB'],[22],['9.30e-04'],[0.513],[0.454],,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
NODE_1_length_147139_cov_38.0,NODE_1_length_147139_cov_38.0@1,442,825,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['6.30e-04'],[0.469],[0.398],,,ERSX0004102.bin.r.8,putative,ERSX0004102,Ancient,calculus,ERSX0004102-megahit_008
