Contig,Operon,Start,End,Prediction,Complete_Interference,Complete_Adaptation,Best_type,Best_score,Genes,Positions,E-values,CoverageSeq,CoverageHMM,Strand_Interference,Strand_Adaptation,sampleID,out_type,length,completeness,contamination,Secondary_sample_accession,MAG_source,Study,Oral_site,Age_BP,Country,Continent,Industrialization,sample_host,Sample,primary_cluster,log_age
NODE_1475_length_3698_cov_16.1,NODE_1475_length_3698_cov_16.1@1,3,338,False,17%,"",III-D,3,['Csx19_12_CAS-III-D'],[1],['5.50e-03'],[0.812],[0.425],1,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1684_length_3382_cov_15.5,NODE_1684_length_3382_cov_15.5@1,2853,3380,False,0%,33%,I-A,2,['Cas4_0_CAS-I-II-III-IV-V-VI'],[4],['1.70e-11'],[0.761],[0.698],,-1,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_259_length_10367_cov_17.5,NODE_259_length_10367_cov_17.5@1,5594,6730,False,0%,"",III-B,1,['TPR_1_CAS-III-B'],[6],['2.50e-05'],[0.515],[0.337],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_164_length_13525_cov_16.4,NODE_164_length_13525_cov_16.4@1,7125,7829,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[10],['3.20e-06'],[0.494],[0.391],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_2741_length_2263_cov_16.9,NODE_2741_length_2263_cov_16.9@1,1502,2206,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['2.10e-04'],[0.409],[0.324],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1144_length_4537_cov_14.6,NODE_1144_length_4537_cov_14.6@1,2651,4536,False,0%,0%,I-B,4,"['Cas11b_0_CAS-I-B', 'HTH_0_CAS-III-B']","[5, 7]","['8.10e-04', '1.10e-04']","[0.809, 0.797]","[0.518, 0.438]",,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_474_length_7781_cov_15.9,NODE_474_length_7781_cov_15.9@1,695,1162,False,0%,0%,I-C,1,['HEAT_CxxC_PDDEXK_0_CAS-I-C'],[2],['4.60e-06'],[0.647],[0.382],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_4129_length_1591_cov_14.3,NODE_4129_length_1591_cov_14.3@1,2,1254,False,0%,67%,I-A,4,"['Cas2_4_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI']","[1, 2]","['2.10e-10', '4.70e-82']","[0.75, 0.854]","[0.708, 0.989]",,1,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_3236_length_1960_cov_12.5,NODE_3236_length_1960_cov_12.5@1,1490,1960,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[2],['3.90e-04'],[0.554],[0.381],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1637_length_3445_cov_16.9,NODE_1637_length_3445_cov_16.9@1,572,1063,False,29%,0%,I-A,2,['Cas3HD_0_CAS-I'],[2],['2.20e-03'],[0.415],[0.414],1,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1383_length_3924_cov_16.3,NODE_1383_length_3924_cov_16.3@1,902,1705,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[3],['2.10e-07'],[0.347],[0.317],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_3591_length_1792_cov_14.8,NODE_3591_length_1792_cov_14.8@1,667,1686,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[2],['2.00e-06'],[0.312],[0.486],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_2376_length_2538_cov_15.5,NODE_2376_length_2538_cov_15.5@1,25,2496,False,20%,"",III-A,2,['Cas10_1_CAS-III'],[1],['1.00e-142'],[0.837],[1.0],-1,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1800_length_3215_cov_14.9,NODE_1800_length_3215_cov_14.9@1,1738,2547,False,0%,33%,I-A,1,['Cas4_0_I-II'],[2],['1.30e-22'],[0.678],[0.994],,1,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_6123_length_1134_cov_12.7,NODE_6123_length_1134_cov_12.7@1,3,1133,False,14%,0%,I-A,1,['Cas3_0_I'],[1],['2.10e-05'],[0.594],[0.575],-1,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_432_length_8115_cov_15.1,NODE_432_length_8115_cov_15.1@1,3577,4524,False,0%,33%,II-A,3,['Csn2_7_CAS-II-A'],[5],['3.20e-04'],[0.389],[0.349],,-1,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_811_length_5724_cov_14.9,NODE_811_length_5724_cov_14.9@1,2830,3672,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[4],['1.60e-09'],[0.505],[0.472],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_2146_length_2762_cov_15.8,NODE_2146_length_2762_cov_15.8@1,152,757,False,0%,"",III-A,1,['Csm6_6_CAS-III'],[1],['1.90e-03'],[0.431],[0.603],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_6531_length_1073_cov_114.7,NODE_6531_length_1073_cov_114.7@1,597,1043,False,25%,"",III-F,4,['SSgr11_1_CAS-III-F'],[2],['5.20e-03'],[0.342],[0.515],-1,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_731_length_6062_cov_17.2,NODE_731_length_6062_cov_17.2@1,828,1754,False,0%,"",IV-B,3,['CysH_0_IVB'],[3],['1.20e-05'],[0.605],[0.614],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_2587_length_2371_cov_14.6,NODE_2587_length_2371_cov_14.6@1,1541,2224,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[3],['3.20e-06'],[0.474],[0.356],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1913_length_3045_cov_16.4,NODE_1913_length_3045_cov_16.4@1,1495,2247,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[3],['6.80e-05'],[0.402],[0.331],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_932_length_5201_cov_16.0,NODE_932_length_5201_cov_16.0@1,2245,3192,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[4],['6.10e-04'],[0.418],[0.451],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_6363_length_1099_cov_13.8,NODE_6363_length_1099_cov_13.8@1,1,867,False,0%,33%,I-A,1,['Cas4_0_I-II'],[1],['3.10e-07'],[0.446],[0.594],,1,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_2464_length_2465_cov_15.1,NODE_2464_length_2465_cov_15.1@1,727,1482,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[3],['4.30e-04'],[0.401],[0.359],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1547_length_3576_cov_16.9,NODE_1547_length_3576_cov_16.9@1,2252,2950,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[2],['1.40e-07'],[0.33],[0.669],,,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_1783_length_3238_cov_13.7,NODE_1783_length_3238_cov_13.7@1,3,278,False,0%,33%,I-A,1,['Cas2_0_I-II-III'],[1],['5.30e-13'],[0.88],[0.917],,1,ERS11702787.bin.r.4,putative,1674492,91.99,0.93,ERS11702787,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702787-megahit_004,25,
NODE_59_length_27679_cov_28.7,NODE_59_length_27679_cov_28.7@1,3594,4061,False,0%,0%,I-C,1,['HEAT_CxxC_PDDEXK_0_CAS-I-C'],[4],['4.50e-06'],[0.647],[0.382],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_819_length_4426_cov_29.4,NODE_819_length_4426_cov_29.4@1,808,1560,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['6.60e-05'],[0.402],[0.331],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_175_length_12144_cov_30.8,NODE_175_length_12144_cov_30.8@1,7011,9605,False,14%,0%,I-A,1,['Cas3_0_I'],[9],['2.40e-13'],[0.428],[0.922],-1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_979_length_3837_cov_25.6,NODE_979_length_3837_cov_25.6@1,1,3768,Ambiguous,"['14%', '20%', '25%', '20%', '25%']","['100%', '100%', '100%', '100%', '100%']","['I-A', 'I-B', 'I-C', 'I-D', 'I-G']",7,"['Cas3_0_I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI']","[1, 2, 3, 4]","['1.60e-100', '2.20e-50', '2.50e-140', '2.30e-30']","[0.603, 0.947, 0.972, 0.924]","[0.989, 0.994, 0.997, 0.978]",1,1,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_1933_length_2319_cov_26.0,NODE_1933_length_2319_cov_26.0@1,1599,2282,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[3],['3.10e-06'],[0.474],[0.356],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_616_length_5575_cov_27.9,NODE_616_length_5575_cov_27.9@1,2288,3091,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[5],['2.10e-07'],[0.347],[0.317],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_49_length_29295_cov_30.1,NODE_49_length_29295_cov_30.1@1,43,3589,False,0%,"",III-A,2,"['Csx1_16_CAS-III', 'AbiEii_0_CAS-III']","[1, 3]","['1.50e-08', '2.20e-09']","[0.534, 0.31]","[0.364, 0.458]",,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_399_length_7650_cov_25.4,NODE_399_length_7650_cov_25.4@1,5432,6265,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[9],['2.70e-06'],[0.417],[0.384],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_75_length_22578_cov_31.2,NODE_75_length_22578_cov_31.2@2,8429,9127,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[10],['1.30e-07'],[0.33],[0.669],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_277_length_9778_cov_26.9,NODE_277_length_9778_cov_26.9@1,2161,2766,False,0%,"",III-A,1,['Csm6_6_CAS-III'],[3],['1.90e-03'],[0.431],[0.603],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_2946_length_1722_cov_27.4,NODE_2946_length_1722_cov_27.4@1,29,1048,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[1],['1.90e-06'],[0.312],[0.486],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_2168_length_2142_cov_24.3,NODE_2168_length_2142_cov_24.3@1,1480,1824,False,0%,0%,I-B,4,['Cas11b_0_CAS-I-B'],[3],['7.90e-04'],[0.809],[0.518],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_1234_length_3240_cov_28.7,NODE_1234_length_3240_cov_28.7@1,2394,3098,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[2],['2.10e-04'],[0.409],[0.324],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_186_length_11800_cov_28.8,NODE_186_length_11800_cov_28.8@1,6468,8878,False,0%,33%,I-A,2,"['Csx1_9_CAS-III', 'Cas4_0_CAS-I-II-III-IV-V-VI']","[8, 9]","['1.20e-83', '2.20e-15']","[0.887, 0.523]","[0.992, 0.972]",,-1,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_487_length_6637_cov_31.3,NODE_487_length_6637_cov_31.3@1,989,1501,False,0%,"",III-B,1,['CorA_1_CAS-III-B'],[1],['4.50e-03'],[0.491],[0.704],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_694_length_5007_cov_31.8,NODE_694_length_5007_cov_31.8@1,1744,2328,False,0%,"",IV-B,3,['CysH_0_IVB'],[5],['2.00e-03'],[0.523],[0.414],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_445_length_7071_cov_25.1,NODE_445_length_7071_cov_25.1@1,1234,5201,False,20%,"",IV-A1,2,"['Csf4_0_IVA', 'AbiEii_0_CAS-III']","[3, 4]","['1.10e-12', '5.20e-07']","[0.388, 0.482]","[0.521, 0.482]",1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_183_length_11880_cov_26.1,NODE_183_length_11880_cov_26.1@1,10914,11387,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[11],['3.90e-04'],[0.551],[0.381],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_192_length_11573_cov_29.4,NODE_192_length_11573_cov_29.4@1,3580,4527,False,0%,33%,II-A,3,['Csn2_7_CAS-II-A'],[4],['3.20e-04'],[0.389],[0.349],,1,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_517_length_6328_cov_28.6,NODE_517_length_6328_cov_28.6@1,2484,3719,False,0%,33%,I-A,1,['Cas4_0_I-II'],[2],['7.40e-09'],[0.502],[0.8],,1,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_213_length_10977_cov_30.7,NODE_213_length_10977_cov_30.7@1,2119,2973,False,0%,0%,I-A,1,['Csx3_2_CAS-I-III'],[3],['1.50e-03'],[0.323],[0.318],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_234_length_10565_cov_32.1,NODE_234_length_10565_cov_32.1@1,2049,3185,False,0%,"",III-B,1,['TPR_1_CAS-III-B'],[3],['2.40e-05'],[0.515],[0.337],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_482_length_6666_cov_27.8,NODE_482_length_6666_cov_27.8@1,840,3788,False,14%,33%,I-A,2,"['Cas3_0_I', 'Cas4_0_I-II']","[2, 4]","['2.00e-14', '3.30e-18']","[0.571, 0.831]","[0.709, 0.989]",-1,1,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_1406_length_2985_cov_27.6,NODE_1406_length_2985_cov_27.6@1,2626,2985,False,0%,33%,I-A,1,['Cas2_0_I-II-III'],[5],['8.90e-13'],[0.675],[0.917],,-1,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_1634_length_2629_cov_78.9,NODE_1634_length_2629_cov_78.9@1,1759,2241,False,25%,"",III-F,4,['SSgr11_1_CAS-III-F'],[3],['1.40e-03'],[0.441],[0.722],1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_2238_length_2083_cov_31.0,NODE_2238_length_2083_cov_31.0@1,999,1490,False,29%,0%,I-A,2,['Cas3HD_0_CAS-I'],[2],['2.10e-03'],[0.415],[0.414],-1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_147_length_14068_cov_29.1,NODE_147_length_14068_cov_29.1@1,5956,6348,False,0%,0%,I-A,0,['Csa3_1_CAS-I-II-III-IV-V-VI'],[4],['1.80e-19'],[0.679],[0.805],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_104_length_17988_cov_32.3,NODE_104_length_17988_cov_32.3@1,4471,5427,False,0%,"",III-B,1,['htpX_0_CAS-III-B'],[4],['8.30e-10'],[0.395],[0.397],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_145_length_14181_cov_25.6,NODE_145_length_14181_cov_25.6@1,8918,10204,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[7],['2.70e-11'],[0.382],[0.56],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_494_length_6563_cov_30.5,NODE_494_length_6563_cov_30.5@1,3009,4019,False,0%,"",IV-B,3,['CysH_0_IVB'],[5],['4.80e-06'],[0.433],[0.59],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_545_length_6147_cov_30.4,NODE_545_length_6147_cov_30.4@1,4309,5235,False,0%,"",IV-B,3,['CysH_0_IVB'],[5],['1.20e-05'],[0.605],[0.614],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_1653_length_2611_cov_39.5,NODE_1653_length_2611_cov_39.5@1,1732,2229,False,14%,0%,I-A,2,['Cas6_0_CAS-I-A-III-D'],[5],['4.70e-04'],[0.488],[0.313],1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_46_length_30744_cov_30.9,NODE_46_length_30744_cov_30.9@1,21648,22124,False,0%,0%,I-A,0,['CasR_1_CAS-I-II-III-IV-V-VI'],[26],['2.10e-07'],[0.409],[0.312],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_75_length_22578_cov_31.2,NODE_75_length_22578_cov_31.2@1,3440,4261,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[5],['5.80e-03'],[0.445],[0.44],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_167_length_12750_cov_28.6,NODE_167_length_12750_cov_28.6@1,50,610,False,14%,0%,I-A,4,['Csa5gr11_2_CAS-I-A'],[1],['1.30e-04'],[0.46],[0.673],1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_248_length_10340_cov_31.3,NODE_248_length_10340_cov_31.3@1,5763,6710,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[8],['6.00e-04'],[0.418],[0.451],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_794_length_4550_cov_23.7,NODE_794_length_4550_cov_23.7@1,3919,4275,False,0%,"",III-D,1,['Mem_04_0_CAS-III-D'],[6],['1.30e-03'],[0.975],[0.448],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_988_length_3821_cov_29.4,NODE_988_length_3821_cov_29.4@1,3070,3795,False,0%,33%,I-A,1,['Cas4_0_I-II'],[4],['1.40e-13'],[0.756],[0.961],,-1,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_601_length_5726_cov_30.0,NODE_601_length_5726_cov_30.0@1,2830,3672,False,0%,"",III-A,1,['AbiEii_0_CAS-III'],[4],['1.50e-09'],[0.505],[0.472],,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_114_length_16402_cov_31.7,NODE_114_length_16402_cov_31.7@1,12676,14526,False,20%,"",IV-A1,2,['Csf4_0_IVA'],[10],['8.10e-15'],[0.472],[0.477],1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
NODE_59_length_27679_cov_28.7,NODE_59_length_27679_cov_28.7@2,16216,18375,False,14%,0%,I-A,2,['Cas3_0_CAS-I'],[14],['1.20e-22'],[0.421],[0.907],1,,ERS11702789.bin.r.3,putative,1798090,94.46,0,ERS11702789,Ancient,Velsko2022,anc_calculus,200,The Netherlands,Europe,Ancient,Homo sapiens,ERS11702789-megahit_003,25,
