genome	accession	reference	gtdb_taxonomy	gtdb_genus	gtdb_species	ncbi_taxonomy	checkm2_completeness	checkm2_contamination	Host	Bin	Age_BP	Country	Continent	Industrialization	primary_cluster
GCA_045638165.1_ASM4563816v1_genomic	GCA_045638165.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045638165	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	67.25	0.01	reference genome						
GCF_045644645.1_ASM4564464v1_genomic	GCF_045644645.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp045644645	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93.3	1.89	reference genome						
GCF_946184425.1_SRR11784285_bin.41_metaWRAP_v1.3_MAG_genomic	GCF_946184425.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp946184425	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	93	1.3	reference genome						
GCF_046487855.1_ASM4648785v1_genomic	GCF_046487855.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp036307625	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	95.37	0.69	reference genome						
GCF_902800615.1_Rumen_uncultured_genome_RUG14594_genomic	GCF_902800615.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900319985	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.97	1.45	reference genome						
GCA_900320955.1_Rumen_uncultured_genome_RUG648_genomic	GCA_900320955.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900320955	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	83.92	3.91	reference genome						
GCF_902798335.1_Rumen_uncultured_genome_RUG14349_genomic	GCF_902798335.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp900314695	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.92	0.3	reference genome						
GCF_029226445.1_ASM2922644v1_genomic	GCF_029226445.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp022768985	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	98.8	0.01	reference genome						
GCF_902801725.1_Rumen_uncultured_genome_RUG14697_genomic	GCF_902801725.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902801725	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	94.04	0.28	reference genome						
GCF_030539555.1_ASM3053955v1_genomic	GCF_030539555.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp030539555	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	94.66	0.43	reference genome						
GCA_015062925.1_ASM1506292v1_genomic	GCA_015062925.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella thaueri_C	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter thaueri	86.79	5.02	reference genome						
GCA_902796575.1_Rumen_uncultured_genome_RUG14185_genomic	GCA_902796575.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp902796575	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	86.09	1.21	reference genome						
GCA_947628455.1_Lapin-016_bin7_genomic	GCA_947628455.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp947628455	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	83.79	0.59	reference genome						
GCA_964409285.1_SRP222994_co1_96_genomic	GCA_964409285.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanocatella	Methanocatella sp964409285	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.54	0.07	reference genome						
GCA_051649785.1_ASM5164978v1_genomic	GCA_051649785.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	JBOFHT01	JBOFHT01 sp051649785	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	93.17	0.01	reference genome						
GCA_024409165.1_ASM2440916v1_genomic	GCA_024409165.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp024409165	d__Archaea;p__;c__;o__;f__;g__;s__	82.12	0.14	reference genome						
GCA_024409185.1_ASM2440918v1_genomic	GCA_024409185.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp024409185	d__Archaea;p__;c__;o__;f__;g__;s__	64.2	0.06	reference genome						
GCA_937881005.1_SRR6425747_bin.111_CONCOCT_v1.1_MAG_genomic	GCA_937881005.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp024409185	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	88.7	1.36	reference genome						
GCF_002287195.1_ASM228719v1_genomic	GCF_002287195.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera cuniculi	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera cuniculi	99.94	0.09	reference genome						
GCA_045598125.1_ASM4559812v1_genomic	GCA_045598125.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp045598125	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	81.88	0.47	reference genome						
GCA_024409145.1_ASM2440914v1_genomic	GCA_024409145.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp024409145	d__Archaea;p__;c__;o__;f__;g__;s__	90.67	4.79	reference genome						
GCA_023458975.1_ASM2345897v1_genomic	GCA_023458975.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobrevibacter_A	Methanobrevibacter_A sp023440975	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	92.8	0.11	reference genome						
GCF_002495685.1_ASM249568v1_genomic	GCF_002495685.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobrevibacter_A	Methanobrevibacter_A acididurans	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.6	0.08	reference genome						
GCA_030266405.1_ASM3026640v1_genomic	GCA_030266405.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	JAHKLT01	JAHKLT01 sp030266405	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	74.26	0	reference genome						
GCF_046197865.1_117978_genomic	GCF_046197865.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	JAHKLT01	JAHKLT01 sp046197865	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	97.38	0.31	reference genome						
GCA_020854915.1_ASM2085491v1_genomic	GCA_020854915.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	JAHKLT01	JAHKLT01 sp020854915	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	90.16	0.07	reference genome						
GCA_031261915.1_ASM3126191v1_genomic	GCA_031261915.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanoflexus	Methanoflexus mossambicus	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Candidatus Methanoflexus;s__Candidatus Methanoflexus mossambicus	94.14	7.97	reference genome						
GCA_031261945.1_ASM3126194v1_genomic	GCA_031261945.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobaculum	Methanobaculum sp031261945	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	67.49	0	reference genome						
GCF_034928265.1_ASM3492826v1_genomic	GCF_034928265.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobinarius	Methanobinarius sp937881195	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	99.86	0.02	reference genome						
GCA_023440905.1_ASM2344090v1_genomic	GCA_023440905.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	d__Archaea;p__Methanobacteriota;c__;o__;f__;g__;s__	99.93	0.01	reference genome						
GCF_015351715.1_ASM1535171v1_genomic	GCF_015351715.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobinarius	Methanobinarius arboriphilus_A	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter arboriphilus	99.41	0.02	reference genome						
GCA_003315655.1_ASM331565v1_genomic	GCA_003315655.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobinarius	Methanobinarius endosymbioticus	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Candidatus Methanobinarius;s__Candidatus Methanobinarius endosymbioticus	86.62	0.14	reference genome						
GCF_020148105.1_ASM2014810v1_genomic	GCF_020148105.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobinarius	Methanobinarius sp020148105	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	96.64	0.19	reference genome						
GCA_009784145.1_ASM978414v1_genomic	GCA_009784145.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobinarius	Methanobinarius sp009784145	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	64.96	0.08	reference genome						
GCA_030691365.1_ASM3069136v1_genomic	GCA_030691365.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA349	UBA349 sp023249725	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	98.43	1.16	reference genome						
GCA_030656015.1_ASM3065601v1_genomic	GCA_030656015.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA349	UBA349 sp002509745	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	98.66	0.88	reference genome						
GCA_002839705.1_ASM283970v1_genomic	GCA_002839705.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA349	UBA349 sp002839705	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__;g__;s__	98.09	0.24	reference genome						
GCA_964444115.1_SRP302447_co3_217_genomic	GCA_964444115.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA349	UBA349 sp964444115	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	91.61	0.45	reference genome						
GCA_963698135.1_MFD00032.bin.1.135_genomic	GCA_963698135.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA349	UBA349 sp963698135	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	99.25	2.49	reference genome						
GCA_963774795.1_MFD04716.bin.2.169_genomic	GCA_963774795.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA349	UBA349 sp963774795	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	73.86	1.7	reference genome						
GCA_964399835.1_SRP329715_co1_343_genomic	GCA_964399835.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp964399835	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	98.05	0.17	reference genome						
GCF_001729965.1_ASM172996v1_genomic	GCF_001729965.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp001729965	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	99.97	0.21	reference genome						
GCA_030681145.1_ASM3068114v1_genomic	GCA_030681145.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	JAUXXK01	JAUXXK01 sp030681145	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	95.54	0.27	reference genome						
GCA_002504725.1_ASM250472v1_genomic	GCA_002504725.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	UBA587	UBA587 sp002504725	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	89.54	0.26	reference genome						
GCF_023227715.1_ASM2322771v1_genomic	GCF_023227715.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_E	Methanobacterium_E alcaliphilum	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium alcaliphilum	99.98	0.35	reference genome						
GCA_040772645.1_ASM4077264v1_genomic	GCA_040772645.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp002494495	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.85	0	reference genome						
GCA_011620845.1_ASM1162084v1_genomic	GCA_011620845.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp011620845	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	96.28	0.22	reference genome						
GCA_002504505.1_ASM250450v1_genomic	GCA_002504505.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp002495625	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.97	1.38	reference genome						
GCA_002502855.1_ASM250285v1_genomic	GCA_002502855.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp002502855	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	97.83	0.24	reference genome						
GCA_018263005.1_ASM1826300v1_genomic	GCA_018263005.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp018263005	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	92.26	0	reference genome						
GCA_021372715.1_ASM2137271v1_genomic	GCA_021372715.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp021372715	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	91.5	0.41	reference genome						
GCA_028682985.1_ASM2868298v1_genomic	GCA_028682985.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp028682985	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	77.57	2.33	reference genome						
GCA_964530785.1_SRP222994_co1_512_genomic	GCA_964530785.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp964530785	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	98.52	4.22	reference genome						
GCA_002067565.1_ASM206756v1_genomic	GCA_002067565.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp002067565	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	64.59	1.32	reference genome						
GCA_964399685.1_binchicken_co190_441_genomic	GCA_964399685.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp964399685	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	81.55	2.48	reference genome						
GCA_017883605.1_ASM1788360v1_genomic	GCA_017883605.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium_A	Methanobacterium_A sp017883605	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	95.16	0	reference genome						
GCA_020855015.1_ASM2085501v1_genomic	GCA_020855015.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp020855015	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	86.21	0.19	reference genome						
GCF_047786645.1_ASM4778664v1_genomic	GCF_047786645.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp012838205	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.75	0.07	reference genome						
GCA_036807545.1_ASM3680754v1_genomic	GCA_036807545.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp002496805	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	96.44	0.22	reference genome						
GCA_013403005.1_ASM1340300v1_genomic	GCA_013403005.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp013403005	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	99.76	1.59	reference genome						
GCA_020854975.1_ASM2085497v1_genomic	GCA_020854975.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium ferruginis	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	87.44	1.08	reference genome						
GCF_017873625.1_ASM1787362v1_genomic	GCF_017873625.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium petrolearium	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium petrolearium	99.63	1	reference genome						
GCA_002067065.1_ASM206706v1_genomic	GCA_002067065.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp002067065	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	96.96	2.55	reference genome						
GCA_021199865.1_ASM2119986v1_genomic	GCA_021199865.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanosphaera	Methanosphaera sp021199865	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__	85.19	0.12	reference genome						
GCA_964447785.1_binchicken_co269_42_genomic	GCA_964447785.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp964447785	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	87.17	0.04	reference genome						
GCA_964452085.1_SRP302447_co4_100_genomic	GCA_964452085.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp964452085	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	98.12	0.14	reference genome						
GCF_050950605.1_ASM5095060v1_genomic	GCF_050950605.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp000499765	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.98	0.1	reference genome						
GCA_000953115.1_DSM1535_genomic	GCA_000953115.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum	99.9	0.08	reference genome						
GCA_019351055.1_ASM1935105v1_genomic	GCA_019351055.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium subterraneum	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.74	0.15	reference genome						
GCA_964655325.1_binchicken_co190_35_genomic	GCA_964655325.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp964655325	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	80.84	0.85	reference genome						
GCA_030539815.1_ASM3053981v1_genomic	GCA_030539815.1	GB	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp030539815	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	94.3	0.1	reference genome						
GCF_000302455.1_ASM30245v1_genomic	GCF_000302455.1	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum_A	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum	99.29	0.44	reference genome						
GCF_963665055.2_piHetPala1.Methanobacterium_sp_1.2_genomic	GCF_963665055.2	RS	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	Methanobacterium	Methanobacterium sp963665055	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	99.95	2.45	reference genome						
